epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.1022,2.3227813536071777,0.5001,0.0855,2.3158584579467774,0.4777
1,0.11686,2.29797029296875,0.53702,0.0887,2.3152073432922364,0.4777
2,0.1209,2.295296338043213,0.54466,0.0932,2.312949588012695,0.4814
3,0.12226,2.293783000640869,0.54882,0.0905,2.314729454040527,0.4812
4,0.12396,2.2929847135162356,0.5509,0.0874,2.3153033950805666,0.4796
5,0.12558,2.292224786834717,0.55424,0.0863,2.31539020690918,0.4792
6,0.12624,2.291524965362549,0.55818,0.0896,2.3149859626770017,0.4799
7,0.12784,2.291077950439453,0.5579,0.088,2.3150716773986817,0.479
8,0.12806,2.2908665699768065,0.55636,0.0882,2.3151548873901366,0.48
9,0.12984,2.290296833343506,0.56044,0.0889,2.3150847789764404,0.4782
10,0.12916,2.2901129998779295,0.56118,0.0892,2.3149439067840576,0.4785
11,0.12968,2.2898264678192137,0.5622,0.0891,2.3149082931518556,0.4802
12,0.13006,2.2893576148223875,0.5628,0.0892,2.3149666259765627,0.4803
13,0.1311,2.2893984619903565,0.5609,0.09,2.31512547454834,0.4804
14,0.13062,2.289216996459961,0.56392,0.0899,2.315046327972412,0.4801
15,0.13148,2.289023666152954,0.564,0.0888,2.3152444580078124,0.479
16,0.13274,2.2885735107421876,0.5641,0.0885,2.3154129562377928,0.4778
17,0.13206,2.288705084152222,0.5647,0.089,2.31523452835083,0.4802
18,0.13382,2.2884271799468996,0.56554,0.0883,2.3155571926116942,0.4786
19,0.13164,2.2883173407745363,0.56578,0.089,2.3154775016784668,0.4791
20,0.1328,2.2879619770812987,0.56638,0.0893,2.3154598472595214,0.4789
21,0.13374,2.287983547515869,0.5663,0.0891,2.3157260105133055,0.4776
22,0.13358,2.2879368225860595,0.56724,0.0886,2.3154285804748533,0.4791
23,0.13334,2.287535662384033,0.5699,0.089,2.3154855628967286,0.4803
24,0.13328,2.2876522215271,0.56754,0.0881,2.3156153190612794,0.4789
25,0.13388,2.2874620891571045,0.56732,0.0886,2.3155001556396484,0.4802
26,0.13446,2.287457789077759,0.56884,0.089,2.315579940032959,0.4792
27,0.13366,2.2872359785461427,0.56882,0.0878,2.3156814010620117,0.4785
28,0.134,2.287114843444824,0.57032,0.088,2.3156378158569337,0.4793
29,0.13474,2.287148066177368,0.56962,0.0885,2.315547699737549,0.4801
30,0.13506,2.286952530441284,0.56936,0.0886,2.315595538330078,0.4791
31,0.13442,2.2868943801116943,0.56964,0.0881,2.31564319190979,0.4789
32,0.13462,2.2867801628112794,0.57138,0.0887,2.3156407661437988,0.4789
33,0.13538,2.2867757396697996,0.57042,0.0889,2.3155624633789063,0.4802
34,0.13496,2.2865116484069823,0.57224,0.0882,2.315809127807617,0.4786
35,0.13474,2.2865069403839113,0.57064,0.0887,2.3157188514709475,0.479
36,0.13542,2.2865822483825684,0.57324,0.0886,2.3157435626983642,0.4792
37,0.13558,2.2864539906311037,0.57276,0.0892,2.3156911907196043,0.4793
38,0.13484,2.2863802543640137,0.57256,0.0897,2.315772457885742,0.4783
39,0.13576,2.2864341438293456,0.57114,0.0881,2.3157412445068357,0.4784
