epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10056,2.325519374847412,0.49994,0.1052,2.3048396488189695,0.5183
1,0.11328,2.30028818649292,0.53202,0.1074,2.3044917209625244,0.5204
2,0.1184,2.297682195968628,0.54198,0.1057,2.3042813209533692,0.5227
3,0.11834,2.29663157333374,0.54316,0.104,2.3046604858398436,0.5258
4,0.12114,2.2955326691436766,0.54848,0.1045,2.304804922103882,0.522
5,0.1219,2.294855867767334,0.54974,0.1031,2.304857858657837,0.5229
6,0.12252,2.294389267120361,0.55118,0.1028,2.3047726573944094,0.5224
7,0.1218,2.2940863320922853,0.5527,0.1035,2.3048135612487792,0.5217
8,0.12294,2.2936959078979493,0.55228,0.1027,2.304558470916748,0.5224
9,0.12494,2.2933309412384033,0.55424,0.1028,2.3050385963439943,0.5216
10,0.12416,2.2931424295806884,0.55684,0.1025,2.3050198879241943,0.5227
11,0.12546,2.2928829701995848,0.55484,0.1036,2.3048862693786623,0.5221
12,0.1255,2.292664175262451,0.55676,0.1036,2.305045682525635,0.523
13,0.12678,2.2923885194396973,0.55706,0.1028,2.3050816955566407,0.5221
14,0.12516,2.292299580383301,0.55634,0.1034,2.3052413639068603,0.5223
15,0.12484,2.292134387359619,0.55938,0.1027,2.3052741474151612,0.5216
16,0.12656,2.2918370581054686,0.5589,0.1026,2.305197777938843,0.5229
17,0.12574,2.2916201078796385,0.55922,0.1023,2.3051965362548827,0.521
18,0.1282,2.2914041705322266,0.55886,0.1024,2.305244987487793,0.522
19,0.1259,2.291443974533081,0.56028,0.1024,2.305081008148193,0.5218
20,0.12794,2.291305390396118,0.55852,0.1017,2.305193927383423,0.5215
21,0.1293,2.2911376525115967,0.56114,0.1019,2.3051681243896485,0.522
22,0.12702,2.291022189178467,0.56196,0.1019,2.3051754165649414,0.5213
23,0.12864,2.2910782694244385,0.5605,0.1022,2.305163342666626,0.5218
24,0.12872,2.2909860731506346,0.56098,0.1017,2.3053337005615235,0.5205
25,0.12836,2.2907299729156496,0.56042,0.1025,2.305234135437012,0.5204
26,0.1275,2.2907982985687254,0.5627,0.1017,2.3053661640167236,0.5209
27,0.12828,2.290505650405884,0.56284,0.1023,2.305412895965576,0.5211
28,0.12814,2.290647670288086,0.563,0.1019,2.30533922958374,0.5202
29,0.1285,2.2905427684783937,0.56282,0.102,2.305373759841919,0.5195
30,0.12742,2.290469204711914,0.56344,0.1026,2.305290131378174,0.5198
31,0.12906,2.2903801128387453,0.5639,0.1019,2.305420064544678,0.5194
32,0.12842,2.2903377603912354,0.56452,0.1027,2.305403453826904,0.5201
33,0.12908,2.2902789851379395,0.56284,0.1019,2.305427438354492,0.5184
34,0.13088,2.2902048360443117,0.56344,0.1027,2.3053877517700196,0.5199
35,0.13046,2.2901325148773193,0.56546,0.1017,2.305395444869995,0.5198
36,0.1302,2.2901002977752687,0.56624,0.1024,2.3053974140167237,0.5204
37,0.13038,2.2899394690704344,0.5659,0.1017,2.305427216720581,0.5195
38,0.13,2.289836315383911,0.56542,0.1017,2.3053965927124023,0.5203
39,0.1299,2.289883476791382,0.56486,0.1019,2.305412253189087,0.5205
