epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.4497,1.5394743069839478,0.9028,0.4479,1.5051628980636598,0.9174
1,0.50774,1.3911670872879027,0.93212,0.5059,1.3806381772994996,0.9373
2,0.52288,1.351029154396057,0.93674,0.518,1.3498361660003662,0.9409
3,0.53284,1.3276880038452148,0.93992,0.5242,1.332466307067871,0.9433
4,0.53902,1.3114391025543213,0.94078,0.5284,1.3182049655914307,0.9441
5,0.54286,1.2992678517913818,0.94258,0.5311,1.3087563478469848,0.9449
6,0.54674,1.2885519787597657,0.94416,0.5343,1.299700771522522,0.9471
7,0.55114,1.277905330581665,0.945,0.5385,1.2928526430130005,0.9476
8,0.55428,1.2695437659454345,0.94684,0.5423,1.286378141784668,0.9481
9,0.55536,1.2640019827270508,0.94626,0.5411,1.2805318513870239,0.9495
10,0.558,1.2586790970230102,0.94688,0.5462,1.2754230511665343,0.9498
11,0.55912,1.2543242812347413,0.94794,0.5496,1.2714614295959472,0.9507
12,0.55968,1.2488128414916992,0.9487,0.548,1.2674269886016847,0.9506
13,0.56342,1.2441508753585815,0.9488,0.5483,1.2638530734062194,0.952
14,0.56416,1.2395617562103272,0.9495,0.5518,1.2607679000854493,0.9509
15,0.5658,1.2364516223907471,0.9496,0.5531,1.2571000484466552,0.9507
16,0.5678,1.2326976612854004,0.95038,0.5553,1.2544115975379944,0.9512
17,0.56988,1.2303200747680665,0.95068,0.5557,1.25164877243042,0.9518
18,0.56894,1.227765610847473,0.95094,0.5572,1.249039554977417,0.9517
19,0.56928,1.2248005334472656,0.95166,0.5572,1.2465105302810668,0.952
20,0.57026,1.2207302355194092,0.9518,0.5583,1.244287393951416,0.9522
21,0.5721,1.2192054248046875,0.95124,0.5589,1.2420144680023193,0.9528
22,0.57292,1.216704222869873,0.95144,0.5605,1.2403674591064453,0.9521
23,0.57442,1.2138882762908936,0.95246,0.5607,1.2382388076782227,0.9528
24,0.57572,1.2127303564834595,0.95194,0.5617,1.2362061038970946,0.9523
25,0.5748,1.2094935552597046,0.95208,0.5612,1.2345746490478515,0.9526
26,0.57694,1.2088625588226318,0.95228,0.563,1.2329537059783935,0.953
27,0.57654,1.2068978263854981,0.95324,0.5626,1.2314306392669678,0.9536
28,0.5782,1.2048159078979492,0.9526,0.5637,1.2298640087127686,0.954
29,0.57894,1.2023638524246216,0.95304,0.5638,1.2284637660980224,0.9535
30,0.57854,1.2014149018478393,0.9537,0.564,1.2269000999450683,0.9536
31,0.57818,1.1995881009674072,0.95294,0.565,1.2257727272033692,0.954
32,0.58112,1.1980792810821532,0.95294,0.5641,1.2239908409118652,0.9538
33,0.57998,1.1952556085968018,0.95422,0.5642,1.2226338226318358,0.9544
34,0.58018,1.1968001058197022,0.95394,0.5659,1.2217302047729492,0.9541
35,0.58174,1.1932535106277466,0.9539,0.566,1.2204992527008056,0.9544
36,0.58206,1.1926073540878297,0.95402,0.5662,1.219278742980957,0.9543
37,0.58246,1.1907637699890137,0.95368,0.5665,1.2177879697799683,0.9546
38,0.58318,1.1888862413787842,0.9548,0.5671,1.2168589071273803,0.9546
39,0.5834,1.1871329572296143,0.95498,0.5677,1.2157475972175598,0.9546
