epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10162,2.3547859983444215,0.1,0.49856,0.118,2.351867604255676,0.4782
1,0.10934,2.3176362257003786,0.095,0.52322,0.1002,3.1902818393707277,0.5048
2,0.12472,2.300015308380127,0.09025,0.54342,0.1144,3.56623170375824,0.4944
3,0.14332,2.277474310874939,0.0857375,0.58754,0.1451,3.1863256216049196,0.5082
4,0.16706,2.245334500312805,0.081450626,0.62734,0.1017,5.406737470626831,0.5162
5,0.19842,2.192235342502594,0.077378094,0.6734,0.0932,4.863229274749756,0.4985
6,0.24004,2.112917006969452,0.07350919,0.72448,0.1151,5.475273122787476,0.5229
7,0.29232,1.9948852291107178,0.06983373,0.77622,0.0987,5.25119309425354,0.5337
8,0.35712,1.8344477725028991,0.06634204,0.83078,0.0997,10.377467288970948,0.5158
9,0.43768,1.6317563381195068,0.06302494,0.88174,0.1021,11.552521648406982,0.5296
10,0.51594,1.4028523564338684,0.059873693,0.92318,0.1188,11.423879909515382,0.5026
11,0.604,1.1517665522098541,0.05688001,0.95334,0.0948,12.777341747283936,0.5113
12,0.693,0.8994585444927216,0.05403601,0.97604,0.1023,12.613746662139892,0.5091
13,0.7694,0.6750956177711487,0.05133421,0.9878,0.1008,14.09839614868164,0.5155
14,0.83702,0.4828099398612976,0.0487675,0.99484,0.0907,12.747694969177246,0.5072
15,0.88274,0.34411996018886565,0.046329122,0.99778,0.1218,12.703166694641114,0.4964
16,0.92684,0.21325222778320313,0.044012666,0.99926,0.0946,13.078184108734131,0.514
17,0.96334,0.11440990537405014,0.041812032,0.99988,0.1047,13.716955432891845,0.5219
18,0.9873,0.04575396101176739,0.039721433,0.99998,0.1054,13.812074565887452,0.5152
19,0.99854,0.011993617109954358,0.03773536,1.0,0.1066,13.342881565093995,0.5164
20,1.0,0.0024967773715034126,0.03584859,1.0,0.1039,13.355164070129394,0.5187
21,1.0,0.0012529687783680856,0.034056164,1.0,0.1044,13.352218227386475,0.5176
22,1.0,0.0009677153055090458,0.032353353,1.0,0.104,13.343414459228516,0.5162
23,1.0,0.0008095821721944958,0.030735686,1.0,0.1032,13.311410274505615,0.5159
24,1.0,0.0007107467483729124,0.029198902,1.0,0.1031,13.318413276672363,0.5159
25,1.0,0.0006485597537830472,0.027738957,1.0,0.1033,13.336805839538574,0.5163
26,1.0,0.0005923879012698308,0.026352009,1.0,0.1033,13.352934074401855,0.5167
27,1.0,0.0005466496609151364,0.025034409,1.0,0.1034,13.347557563781738,0.5166
28,1.0,0.0005047345669008792,0.02378269,1.0,0.103,13.349792346954345,0.5163
29,1.0,0.0004876736222067848,0.022593554,1.0,0.1029,13.351230449676514,0.5168
30,1.0,0.00045646552939433607,0.021463877,1.0,0.1026,13.348353805541992,0.5165
31,1.0,0.00042915962997358293,0.020390682,1.0,0.1027,13.35201560974121,0.5168
32,1.0,0.0004215638830792159,0.019371148,1.0,0.103,13.352995147705078,0.5164
33,1.0,0.0004000805445248261,0.018402591,1.0,0.1023,13.348282432556152,0.5164
34,1.0,0.0003909569909446873,0.017482461,1.0,0.1026,13.350047187805176,0.5167
35,1.0,0.00037222629436291753,0.016608339,1.0,0.1025,13.348159198760987,0.5164
36,1.0,0.0003728967341594398,0.015777921,1.0,0.1023,13.349613533020019,0.5158
37,1.0,0.00035503278183750806,0.014989025,1.0,0.1022,13.347363224029541,0.5161
38,1.0,0.0003406175507698208,0.014239574,1.0,0.1022,13.341200580596924,0.5161
39,1.0,0.0003438487524399534,0.013527595,1.0,0.1023,13.344001350402833,0.5161
40,1.0,0.0003371588489972055,0.012851216,1.0,0.1024,13.342869510650635,0.516
41,1.0,0.0003257130865822546,0.012208655,1.0,0.1022,13.337235641479491,0.5161
42,1.0,0.00032177595130633563,0.011598222,1.0,0.1023,13.335906925201416,0.5159
43,1.0,0.00031719553039874884,0.011018311,1.0,0.1024,13.34192050933838,0.5159
44,1.0,0.00030988827720284463,0.010467395,1.0,0.1023,13.337211246490478,0.516
45,1.0,0.0003000120428041555,0.009944025,1.0,0.1025,13.338147697448731,0.5157
46,1.0,0.00030679417704232036,0.009446824,1.0,0.1025,13.341790676116943,0.5158
47,1.0,0.000295120558468625,0.008974483,1.0,0.1025,13.335656414031982,0.516
48,1.0,0.0002904836066882126,0.008525759,1.0,0.1025,13.336127223968505,0.5158
49,1.0,0.00029050132230622693,0.008099471,1.0,0.1023,13.340694637298585,0.5157
50,1.0,0.0002852983953198418,0.0076944977,1.0,0.1025,13.340897750854491,0.5155
51,1.0,0.0002836370345321484,0.0073097725,1.0,0.1024,13.338950710296631,0.5158
52,1.0,0.000279434694617521,0.006944284,1.0,0.1023,13.337107410430908,0.5156
53,1.0,0.00028256689955014736,0.00659707,1.0,0.1024,13.335430908203126,0.5154
54,1.0,0.0002767326374305412,0.0062672165,1.0,0.1023,13.340883674621582,0.5155
55,1.0,0.00027480984688736497,0.0059538553,1.0,0.1024,13.341356239318849,0.5157
56,1.0,0.000269478106754832,0.0056561627,1.0,0.1024,13.340623245239257,0.5155
57,1.0,0.0002700977911008522,0.0053733545,1.0,0.1023,13.339316310882568,0.5154
58,1.0,0.00026423235103720797,0.005104687,1.0,0.1023,13.337892570495605,0.5154
59,1.0,0.00026897719647968186,0.0048494525,1.0,0.1025,13.342608757019043,0.5153
