epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.54534,1.2672713961601256,0.1,0.93668,0.5096,1.6665747261047363,0.9048
1,0.72672,0.7825582535266876,0.095,0.98026,0.6906,0.9618241631984711,0.9655
2,0.79632,0.5840080474615097,0.09025,0.98924,0.6885,0.9495969712734222,0.9716
3,0.8363,0.4671420854330063,0.0857375,0.99354,0.7802,0.6507103377580643,0.9875
4,0.87002,0.3757869942188263,0.081450626,0.99592,0.7829,0.6737127435207367,0.9864
5,0.89708,0.2971631352901459,0.077378094,0.99746,0.7529,0.8621377718448638,0.983
6,0.9262,0.2176905745267868,0.07350919,0.9989,0.7818,0.7790740036964416,0.9822
7,0.94546,0.16051406660676001,0.06983373,0.99928,0.7739,0.8256956684589386,0.9879
8,0.96428,0.10811694182455539,0.06634204,0.99984,0.718,1.2773620426654815,0.9697
9,0.97662,0.07304456263035536,0.06302494,0.99996,0.7504,1.0817427444458008,0.9775
10,0.98762,0.043131445296108725,0.059873693,1.0,0.7316,1.3299574518203736,0.9839
11,0.99458,0.022572113879024983,0.05688001,1.0,0.8225,0.7290706956386566,0.9936
12,0.99918,0.007797401638235897,0.05403601,1.0,0.8506,0.6229265701770782,0.9939
13,0.9999,0.0028231708244420587,0.05133421,1.0,0.8552,0.595253244638443,0.9949
14,0.99998,0.0016343146439176052,0.0487675,1.0,0.8583,0.5939996147155762,0.9936
15,1.0,0.001209503257414326,0.046329122,1.0,0.8592,0.600909616947174,0.9941
16,1.0,0.0010210685703204944,0.044012666,1.0,0.8591,0.6043163049221039,0.9944
17,1.0,0.0009262489773100242,0.041812032,1.0,0.8595,0.6100831472873688,0.9938
18,1.0,0.0008010545298457145,0.039721433,1.0,0.8593,0.6104506057500839,0.9939
19,1.0,0.0007121928372653202,0.03773536,1.0,0.8584,0.6163259238004685,0.9944
20,1.0,0.0006858147388556972,0.03584859,1.0,0.8591,0.6190574645996094,0.9939
21,1.0,0.0006254209416219964,0.034056164,1.0,0.8581,0.6208138787746429,0.994
22,1.0,0.0005729901774320751,0.032353353,1.0,0.8592,0.622785621881485,0.9939
23,1.0,0.0005417750272899867,0.030735686,1.0,0.8588,0.6259611040353775,0.9939
24,1.0,0.0005068150574807078,0.029198902,1.0,0.8589,0.6273176956176758,0.994
25,1.0,0.0005108453432330862,0.027738957,1.0,0.859,0.6299039822816849,0.9942
26,1.0,0.0004850132065475918,0.026352009,1.0,0.8585,0.6320461261272431,0.9938
27,1.0,0.0004665743080549873,0.025034409,1.0,0.8584,0.6320165139436722,0.9938
28,1.0,0.00044004272011807186,0.02378269,1.0,0.8584,0.6334015572071076,0.9938
29,1.0,0.00044524308637483047,0.022593554,1.0,0.859,0.6353786683082581,0.9937
30,1.0,0.0004204567854758352,0.021463877,1.0,0.8589,0.6377010601758957,0.9939
31,1.0,0.00041243512503569946,0.020390682,1.0,0.8591,0.639723822772503,0.9939
32,1.0,0.00038071981380926446,0.019371148,1.0,0.8596,0.6390492022037506,0.994
33,1.0,0.00039579141105059535,0.018402591,1.0,0.8588,0.64119349360466,0.9938
34,1.0,0.0003829452085774392,0.017482461,1.0,0.8593,0.6411632144451141,0.9938
35,1.0,0.00037335466133663433,0.016608339,1.0,0.8589,0.6417430311441421,0.9938
36,1.0,0.0003562565234024078,0.015777921,1.0,0.8588,0.6432236593961715,0.9938
37,1.0,0.0003683419110602699,0.014989025,1.0,0.8593,0.6443830436468124,0.9938
38,1.0,0.00034591591235948725,0.014239574,1.0,0.8596,0.6442350399494171,0.9939
39,1.0,0.0003515962670207955,0.013527595,1.0,0.8583,0.6452319127321243,0.994
