epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.0981,5.26605166053772,0.1,0.52124,0.1017,5.230107154846191,0.5855
1,0.10268,4.996539010047913,0.095,0.54104,0.0789,5.1137001419067385,0.5528
2,0.0997,4.847987689971924,0.09025,0.53928,0.1093,4.263917036056519,0.5095
3,0.10148,4.44771468925476,0.0857375,0.528,0.0958,4.528053321838379,0.5468
4,0.10098,3.915710644721985,0.081450626,0.5135,0.1043,3.5910073852539064,0.4964
5,0.10164,3.170338991165161,0.077378094,0.4996,0.0862,2.8599410247802735,0.5369
6,0.103,2.559300443649292,0.07350919,0.50344,0.077,2.48708062171936,0.4515
7,0.10848,2.357796498298645,0.06983373,0.51908,0.11,2.3572002983093263,0.5216
8,0.11576,2.330921075820923,0.06634204,0.53094,0.1041,2.330936298370361,0.5186
9,0.12554,2.3212125072479246,0.06302494,0.54596,0.0974,2.4307807970046995,0.4853
10,0.1357,2.3046389112472534,0.059873693,0.56864,0.0916,2.419412112236023,0.507
11,0.15216,2.2906061973571776,0.05688001,0.58988,0.107,2.4311617708206175,0.5158
12,0.16884,2.2663043451309206,0.05403601,0.61252,0.0901,2.502736306190491,0.4758
13,0.18552,2.23846595287323,0.05133421,0.63754,0.0993,2.5701536178588866,0.5074
14,0.20538,2.1982795858383177,0.0487675,0.66238,0.1184,2.550665497779846,0.521
15,0.22854,2.157011905670166,0.046329122,0.68642,0.1022,2.6563331985473635,0.494
16,0.25426,2.106101004123688,0.044012666,0.71104,0.0966,2.7210409593582154,0.5025
17,0.27586,2.042210667133331,0.041812032,0.73706,0.1053,2.766888828277588,0.5228
18,0.30412,1.9876106262207032,0.039721433,0.75762,0.0996,2.8966601419448854,0.4989
19,0.33404,1.9117175779342652,0.03773536,0.78362,0.1066,2.947907018661499,0.5146
20,0.36418,1.8383863921165466,0.03584859,0.8016,0.0914,3.182560820579529,0.4818
21,0.39082,1.7645603981018065,0.034056164,0.82166,0.1066,3.253326597213745,0.4961
22,0.4239,1.6773714094161987,0.032353353,0.84122,0.0962,3.4171357679367067,0.4902
23,0.4548,1.5983536128997802,0.030735686,0.85706,0.0979,3.5514286279678347,0.4933
24,0.48122,1.521917347431183,0.029198902,0.87042,0.095,3.6682516813278196,0.4895
25,0.5051,1.4504925065040588,0.027738957,0.88444,0.1004,3.8154435396194457,0.4959
26,0.5429,1.3426174023151398,0.026352009,0.89766,0.0895,4.047580723762512,0.4846
27,0.56936,1.2717342581748963,0.025034409,0.90808,0.1092,4.011504602432251,0.5062
28,0.60062,1.1797468593120575,0.02378269,0.92068,0.0939,4.36124662399292,0.4966
29,0.62634,1.1074112651348114,0.022593554,0.92848,0.1117,4.330913200378418,0.5084
30,0.6587,1.018020759820938,0.021463877,0.93744,0.1002,4.549470500946045,0.503
31,0.68264,0.9374203724861145,0.020390682,0.9453,0.1141,4.593945951461792,0.5226
32,0.71498,0.8542266211509705,0.019371148,0.95152,0.0965,4.919433679580688,0.5016
33,0.73918,0.7852211313247681,0.018402591,0.95704,0.1008,5.131856546401978,0.494
34,0.76294,0.7137975447177887,0.017482461,0.96342,0.1036,5.174557619094848,0.5001
35,0.79064,0.6404777445793152,0.016608339,0.9663,0.1004,5.426938610076904,0.4976
36,0.81418,0.5737253977060318,0.015777921,0.97202,0.0985,5.568554878234863,0.5002
37,0.83468,0.5154676200151443,0.014989025,0.9755,0.1016,5.807915382385254,0.5015
38,0.85854,0.4569363785982132,0.014239574,0.97942,0.0994,5.774728002548218,0.5145
39,0.88198,0.3942354171872139,0.013527595,0.98208,0.0946,6.042682800292969,0.4976
