epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09986,2.308875503540039,0.1,0.49614,0.1137,2.3135387182235716,0.5119
1,0.09714,2.304015322685242,0.095,0.49378,0.1119,2.313232412338257,0.5125
2,0.0997,2.30375914478302,0.09025,0.49856,0.1135,2.316029920578003,0.5185
3,0.10054,2.30358531665802,0.0857375,0.49792,0.1121,2.3151687240600585,0.51
4,0.102,2.3034395513534545,0.081450626,0.50174,0.1129,2.313249669075012,0.5155
5,0.10096,2.303508137702942,0.077378094,0.4986,0.1122,2.315346808433533,0.5114
6,0.09998,2.303385657310486,0.07350919,0.50008,0.1146,2.315924201011658,0.5149
7,0.10014,2.30333687210083,0.06983373,0.49872,0.1156,2.31540105342865,0.5152
8,0.09928,2.3034587030410765,0.06634204,0.49932,0.1146,2.3161123895645144,0.5115
9,0.09852,2.303492877006531,0.06302494,0.49894,0.1128,2.318235921859741,0.5158
10,0.10112,2.303326066017151,0.059873693,0.49888,0.1116,2.313949694633484,0.5061
11,0.09952,2.3032652263641356,0.05688001,0.4998,0.1128,2.317072367668152,0.5133
12,0.1001,2.3032630395889284,0.05403601,0.49642,0.1128,2.312932877540588,0.5128
13,0.0999,2.3031722326278685,0.05133421,0.49978,0.112,2.3128888750076295,0.5119
14,0.10072,2.3029718704223634,0.0487675,0.50332,0.1106,2.3150709819793702,0.5058
15,0.1005,2.303101799964905,0.046329122,0.50002,0.112,2.3164454603195193,0.5116
16,0.10222,2.303060007095337,0.044012666,0.5012,0.1113,2.3139763832092286,0.5142
17,0.09754,2.3032033462524413,0.041812032,0.49552,0.1112,2.3136729431152343,0.5162
18,0.1019,2.302984733581543,0.039721433,0.49906,0.1145,2.315133738517761,0.51
19,0.10104,2.302958559036255,0.03773536,0.50024,0.1123,2.313892512321472,0.5114
20,0.10228,2.3027950525283813,0.03584859,0.50568,0.1089,2.3147826051712035,0.5062
21,0.10224,2.3027855978012086,0.034056164,0.50548,0.1077,2.3166286039352415,0.51
22,0.10458,2.302793713569641,0.032353353,0.5032,0.1065,2.3176434087753295,0.5114
23,0.1003,2.3028008470535277,0.030735686,0.50382,0.1061,2.316283278465271,0.5099
24,0.10206,2.302624749183655,0.029198902,0.50648,0.1068,2.3143503618240358,0.5108
25,0.10226,2.3026607732772826,0.027738957,0.50354,0.1111,2.315229353904724,0.5079
26,0.10282,2.302505356788635,0.026352009,0.50658,0.1124,2.317136058807373,0.5128
27,0.10296,2.302173560142517,0.025034409,0.51018,0.1083,2.3173115921020506,0.5128
28,0.1058,2.3017134199142455,0.02378269,0.51532,0.105,2.3199512004852294,0.5145
29,0.10216,2.302013710975647,0.022593554,0.51154,0.1081,2.322017230987549,0.5174
30,0.10592,2.301872392654419,0.021463877,0.51184,0.1062,2.324987139701843,0.5175
31,0.11246,2.3001306581497194,0.020390682,0.52602,0.1019,2.3286533403396605,0.5197
32,0.10994,2.3000634336471557,0.019371148,0.52548,0.1011,2.3327608346939086,0.5162
33,0.10994,2.300060010910034,0.018402591,0.5276,0.1032,2.334809103012085,0.5172
34,0.1133,2.297820357322693,0.017482461,0.53558,0.0992,2.348154444694519,0.5132
35,0.11436,2.297124255180359,0.016608339,0.53862,0.0991,2.355209274291992,0.5114
36,0.11432,2.298361908912659,0.015777921,0.53338,0.0969,2.369225082397461,0.515
37,0.11284,2.2964289836883545,0.014989025,0.54654,0.097,2.3630052042007446,0.5144
38,0.1257,2.2924618482589723,0.014239574,0.55312,0.0993,2.3739117193222046,0.5067
39,0.13112,2.2864051847457887,0.013527595,0.56812,0.1,2.380044631958008,0.5002
