epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.39074,1.707029335975647,0.1,0.86644,0.4362,1.575923626422882,0.8929
1,0.46092,1.5144356832504273,0.095,0.9084,0.4424,1.57643381357193,0.8959
2,0.49882,1.4100796747207642,0.09025,0.9216,0.4831,1.502778708934784,0.9115
3,0.53382,1.3153419981002807,0.0857375,0.93584,0.4837,1.508575849533081,0.9074
4,0.56196,1.230756464958191,0.081450626,0.94332,0.4778,1.5090989351272583,0.9118
5,0.59114,1.151521666765213,0.077378094,0.95262,0.495,1.5143426442146302,0.9138
6,0.62424,1.0476495349407196,0.07350919,0.96178,0.5015,1.5418470573425294,0.9148
7,0.6587,0.951994404554367,0.06983373,0.96856,0.4998,1.607764220237732,0.9154
8,0.68924,0.8705427198410034,0.06634204,0.97436,0.504,1.6861973953247071,0.9108
9,0.71764,0.7927534716129303,0.06302494,0.97874,0.5058,1.7178585982322694,0.9146
10,0.75308,0.6969565231800079,0.059873693,0.984,0.5101,1.8414420652389527,0.9109
11,0.77748,0.6198932622671127,0.05688001,0.98758,0.5013,1.9604938745498657,0.9125
12,0.80532,0.550567054271698,0.05403601,0.99044,0.5078,2.0882974314689635,0.9094
13,0.8337,0.4643702275753021,0.05133421,0.99336,0.5088,2.1806507086753846,0.9174
14,0.8596,0.39739016789197923,0.0487675,0.99518,0.513,2.4088163328170777,0.9106
15,0.88278,0.329318603515625,0.046329122,0.99668,0.512,2.598818635940552,0.9112
16,0.90624,0.2628749027848244,0.044012666,0.99768,0.5092,2.8754137134552002,0.9098
17,0.92096,0.22385103341937065,0.041812032,0.99876,0.5124,3.025422077178955,0.9103
18,0.93606,0.18297668412327767,0.039721433,0.99922,0.5122,3.0819141483306884,0.9109
19,0.95004,0.14194618824124336,0.03773536,0.99946,0.5183,3.3512812566757204,0.9111
20,0.96294,0.10798352487385272,0.03584859,0.9998,0.5236,3.4319939851760863,0.9122
21,0.97742,0.0654810374379158,0.034056164,0.99988,0.5195,3.650098419189453,0.9116
22,0.9857,0.044755640309304,0.032353353,0.99998,0.5305,3.7544446706771852,0.912
23,0.9935,0.022288702748715878,0.030735686,0.99998,0.5262,3.958210196495056,0.9159
24,0.99796,0.009266083740163595,0.029198902,1.0,0.5328,3.993441967964172,0.9183
25,0.99926,0.003618899825960398,0.027738957,1.0,0.5326,4.088653216361999,0.9176
26,0.99962,0.001976767129963264,0.026352009,1.0,0.5333,4.137266602516174,0.9184
27,0.99942,0.0025577897249022498,0.025034409,0.99998,0.5341,4.15460045337677,0.9188
28,0.99982,0.0013705404940992593,0.02378269,1.0,0.535,4.196799926757812,0.92
29,0.99992,0.0010136515359627082,0.022593554,1.0,0.5353,4.230018377304077,0.9193
30,0.99994,0.0007810349506326019,0.021463877,1.0,0.535,4.246591091156006,0.9197
31,0.99986,0.0008082121009938419,0.020390682,1.0,0.5359,4.26779983997345,0.9194
32,0.99996,0.000636855743417982,0.019371148,1.0,0.5357,4.2784185886383055,0.9196
33,1.0,0.0005473876811447554,0.018402591,1.0,0.5358,4.293105802536011,0.9194
34,1.0,0.000497231213550549,0.017482461,1.0,0.5364,4.304295959472657,0.9195
35,0.99998,0.0004848154102801345,0.016608339,1.0,0.5362,4.3135968732833865,0.9191
36,1.0,0.0004384401807328686,0.015777921,1.0,0.536,4.322067933082581,0.9193
37,1.0,0.000420916146656964,0.014989025,1.0,0.5365,4.329944424629211,0.9195
38,1.0,0.00039571684307884426,0.014239574,1.0,0.5365,4.336983966827392,0.9196
39,1.0,0.00037856972723966463,0.013527595,1.0,0.5363,4.3437478685379025,0.9198
