epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09952,2.339757529258728,0.1,0.49844,0.0929,2.3141076135635377,0.51
1,0.10076,2.3078160791397093,0.095,0.4994,0.1071,2.3039676094055177,0.4956
2,0.10084,2.3039037141799925,0.09025,0.50696,0.1055,2.3022452449798583,0.5172
3,0.10626,2.302565588951111,0.0857375,0.51444,0.1071,2.301021685600281,0.5189
4,0.10916,2.301361147880554,0.081450626,0.52158,0.0878,2.2997092247009276,0.537
5,0.1116,2.300338326454163,0.077378094,0.52868,0.1135,2.3043464374542237,0.515
6,0.11422,2.2985426378250122,0.07350919,0.53492,0.1113,2.298673629760742,0.5421
7,0.12006,2.2957308263778686,0.06983373,0.54726,0.1022,2.3141083002090452,0.5277
8,0.12384,2.2927304944992066,0.06634204,0.5561,0.0892,2.30870484828949,0.5266
9,0.12946,2.2879284219741822,0.06302494,0.5659,0.0873,2.3115457487106323,0.5267
10,0.13782,2.2806068887710573,0.059873693,0.58056,0.1078,2.3139279460906983,0.5196
11,0.14348,2.2724546728134154,0.05688001,0.59228,0.1042,2.3776158571243284,0.4879
12,0.15868,2.258010160446167,0.05403601,0.6121,0.0999,2.393509111404419,0.5368
13,0.16924,2.2394226684570313,0.05133421,0.6327,0.1151,2.4209198713302613,0.5203
14,0.18498,2.2126793823242186,0.0487675,0.65614,0.0976,2.368406081199646,0.5188
15,0.20516,2.175710531234741,0.046329122,0.68442,0.0881,2.5187056112289428,0.4846
16,0.22956,2.1239639649391173,0.044012666,0.71456,0.1019,2.990536937713623,0.5096
17,0.2603,2.056368229866028,0.041812032,0.74558,0.1042,2.9358373498916626,0.507
18,0.30096,1.966328052997589,0.039721433,0.78202,0.1012,2.7246888780593874,0.5027
19,0.34486,1.850034294605255,0.03773536,0.8176,0.0974,3.633522696495056,0.5323
20,0.39186,1.7337011394500732,0.03584859,0.84896,0.1049,3.581814098358154,0.5069
21,0.45262,1.574821704864502,0.034056164,0.88134,0.1025,3.6143988752365113,0.5105
22,0.5091,1.4177255358695984,0.032353353,0.90636,0.1037,3.8186423873901365,0.5082
23,0.56844,1.2499484252929687,0.030735686,0.93012,0.1026,4.797342824935913,0.5037
24,0.63284,1.0704339003562928,0.029198902,0.95094,0.1015,5.50096508026123,0.4946
25,0.6936,0.8996027021408081,0.027738957,0.96512,0.084,6.322549858093262,0.493
26,0.74496,0.7480223877429962,0.026352009,0.97718,0.1002,8.109447011947632,0.4933
27,0.79556,0.610269512295723,0.025034409,0.98492,0.0943,6.850633459091187,0.497
28,0.84668,0.4613507410287857,0.02378269,0.9914,0.0956,6.071473407745361,0.4996
29,0.89698,0.32415150249004365,0.022593554,0.99486,0.1004,9.188041667938233,0.5038
30,0.9339,0.22065494525432586,0.021463877,0.99792,0.1029,7.7927671241760255,0.5039
31,0.9608,0.13791367509961128,0.020390682,0.99906,0.1025,7.821510553359985,0.5003
32,0.98546,0.06884112951159477,0.019371148,0.99962,0.1006,7.220465030670166,0.507
33,0.9974,0.025100735738873482,0.018402591,0.99992,0.1018,7.00600435256958,0.5055
34,0.9997,0.009405291499570012,0.017482461,0.99998,0.104,6.824006614685058,0.5038
35,0.99984,0.0058364263121038675,0.016608339,0.99996,0.1024,6.7693082714080814,0.5007
36,0.99994,0.003858854909427464,0.015777921,0.99998,0.1051,6.856464052200318,0.5095
37,0.99994,0.0032543222960084678,0.014989025,0.99998,0.1023,6.887817029953003,0.5043
38,0.99994,0.0029487694627605377,0.014239574,0.99996,0.1041,6.86002516746521,0.5041
39,0.99998,0.0025297690210863946,0.013527595,0.99998,0.1026,6.908287286758423,0.5045
