epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.55562,1.2351215546131133,0.1,0.94012,0.4603,2.0522151708602907,0.9026
1,0.73404,0.7558743579387665,0.095,0.98252,0.6385,1.0928100979328155,0.9717
2,0.80266,0.5660219657421112,0.09025,0.9907,0.6529,1.1477508568763732,0.98
3,0.84314,0.4568036291599274,0.0857375,0.99368,0.739,0.8248455810546875,0.9801
4,0.8758,0.3585028662085533,0.081450626,0.996,0.7614,0.7187980258464813,0.9845
5,0.89944,0.28897531306743623,0.077378094,0.99746,0.7727,0.7388919484615326,0.9849
6,0.92364,0.2199291859269142,0.07350919,0.99886,0.7934,0.6581608599424362,0.9898
7,0.94848,0.1543652664422989,0.06983373,0.99952,0.7258,1.0545123171806337,0.9784
8,0.96492,0.1053076905310154,0.06634204,0.99984,0.6363,2.141053318977356,0.9776
9,0.97754,0.07179299979656935,0.06302494,0.99994,0.8187,0.6724347537755966,0.9905
10,0.99028,0.03668746567890048,0.059873693,0.99998,0.7727,1.038526644706726,0.9869
11,0.9963,0.017230998046696186,0.05688001,1.0,0.7962,0.9696067321300507,0.9891
12,0.99968,0.005435866665095091,0.05403601,1.0,0.8555,0.6139996975660325,0.9923
13,1.0,0.0021551056522876024,0.05133421,1.0,0.8612,0.5960537475347519,0.9941
14,1.0,0.0015012185617815704,0.0487675,1.0,0.8632,0.6047526109218597,0.994
15,1.0,0.001118181250290945,0.046329122,1.0,0.8613,0.6057421553134918,0.9937
16,1.0,0.0009533981271088123,0.044012666,1.0,0.8625,0.6137411212921142,0.9936
17,1.0,0.0008234883022960276,0.041812032,1.0,0.8625,0.6157445383071899,0.994
18,1.0,0.0007562746800249443,0.039721433,1.0,0.8627,0.6222142904996872,0.9934
19,1.0,0.0007090893369168043,0.03773536,1.0,0.8622,0.6262363958358764,0.9934
20,1.0,0.0006493674593511969,0.03584859,1.0,0.8625,0.6290640079975128,0.9938
21,1.0,0.0006173008000478149,0.034056164,1.0,0.8614,0.6319419354200363,0.9939
22,1.0,0.0005645706098293885,0.032353353,1.0,0.8622,0.6327806180715561,0.9937
23,1.0,0.0005366132353665308,0.030735686,1.0,0.8627,0.636735891699791,0.9935
24,1.0,0.0005181876439601183,0.029198902,1.0,0.8624,0.6373837578296662,0.9936
25,1.0,0.0004917542558396235,0.027738957,1.0,0.8626,0.6384181815385819,0.9937
26,1.0,0.00048354075371753426,0.026352009,1.0,0.8629,0.6413241219520569,0.9934
27,1.0,0.0004541571357403882,0.025034409,1.0,0.8626,0.6424262154102326,0.9935
28,1.0,0.00043560347892344,0.02378269,1.0,0.8628,0.6440988343954086,0.9936
29,1.0,0.000431054345681332,0.022593554,1.0,0.863,0.6457309484481811,0.9938
30,1.0,0.0004143440992338583,0.021463877,1.0,0.8624,0.6464989537000656,0.9939
31,1.0,0.00039982547116233037,0.020390682,1.0,0.8626,0.6481256425380707,0.9938
32,1.0,0.0003944428241229616,0.019371148,1.0,0.8622,0.6491688054800033,0.9937
33,1.0,0.0004009819357888773,0.018402591,1.0,0.8626,0.6503067326545715,0.9938
34,1.0,0.0003758986776811071,0.017482461,1.0,0.8619,0.6514121454954147,0.9935
35,1.0,0.0003800719152786769,0.016608339,1.0,0.8625,0.6520074832439423,0.9938
36,1.0,0.000368017352593597,0.015777921,1.0,0.8627,0.6521744185686111,0.9936
37,1.0,0.0003663208718644455,0.014989025,1.0,0.8627,0.653274444937706,0.9938
38,1.0,0.000357196768571157,0.014239574,1.0,0.863,0.6544824433326721,0.9937
39,1.0,0.00035247669456293804,0.013527595,1.0,0.8622,0.6546085339784622,0.9939
