epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09688,2.303184169769287,0.01,0.49762,0.0759,2.307180027961731,0.4472
1,0.10178,2.3029052677154542,0.0095,0.50044,0.0882,2.306040449142456,0.4751
2,0.10104,2.3025754919052126,0.009025,0.50446,0.0708,2.30647394657135,0.4601
3,0.10148,2.302579037666321,0.00857375,0.5025,0.0736,2.3062046813964843,0.4616
4,0.10326,2.3023404951095583,0.008145062,0.5068,0.0848,2.3069614934921265,0.4819
5,0.1055,2.3021067771911623,0.0077378093,0.51298,0.0963,2.3070185232162475,0.486
6,0.10424,2.302012258529663,0.007350919,0.51524,0.0693,2.3070958471298217,0.4802
7,0.1086,2.301728542327881,0.006983373,0.51904,0.0796,2.3079598426818846,0.4517
8,0.11052,2.301384707450867,0.006634204,0.52494,0.0793,2.308623113632202,0.4738
9,0.11096,2.301289726257324,0.006302494,0.5245,0.0719,2.3079198932647706,0.47
10,0.11382,2.30093159866333,0.0059873695,0.52886,0.088,2.307879328727722,0.4673
11,0.11262,2.3006752119064333,0.005688001,0.53428,0.0815,2.3085109758377076,0.4628
12,0.11752,2.300267392158508,0.005403601,0.53544,0.0759,2.308830027580261,0.4815
13,0.11682,2.3000302963256836,0.0051334207,0.54058,0.0782,2.3082097148895264,0.4795
14,0.13134,2.299459370613098,0.0048767496,0.55776,0.0851,2.309361233711243,0.4624
15,0.12524,2.299200428009033,0.004632912,0.55416,0.0834,2.3098541736602782,0.4589
16,0.13012,2.298873616218567,0.0044012666,0.56306,0.0808,2.3098090505599975,0.4581
17,0.13908,2.2984289836883547,0.0041812034,0.56544,0.0836,2.311554641723633,0.4773
18,0.1304,2.29821616268158,0.0039721434,0.5669,0.0824,2.3109839582443237,0.4746
19,0.13958,2.2977626218795777,0.003773536,0.57918,0.0846,2.3096529340744016,0.4766
20,0.13322,2.297415433883667,0.0035848592,0.58066,0.0917,2.3101705074310304,0.4583
21,0.13892,2.2970567474365233,0.0034056162,0.57586,0.0835,2.310413680076599,0.4781
22,0.14904,2.2963975915908814,0.0032353355,0.58562,0.0835,2.311710920333862,0.4786
23,0.15272,2.2961245431900026,0.0030735687,0.61004,0.086,2.311912055015564,0.4793
24,0.1491,2.295512974739075,0.0029198902,0.59406,0.0842,2.3119855451583864,0.4788
25,0.1532,2.2951023015975953,0.0027738956,0.60362,0.0889,2.311882944107056,0.4681
26,0.14992,2.2947519903182982,0.002635201,0.59806,0.0857,2.312010130882263,0.4702
27,0.15818,2.2942617444992064,0.002503441,0.62722,0.09,2.312504835128784,0.4815
28,0.1721,2.2936269111633303,0.0023782689,0.62108,0.0889,2.3122829961776734,0.4737
29,0.16148,2.2933185148239135,0.0022593555,0.62534,0.0844,2.3141154146194456,0.4846
30,0.16574,2.292837588310242,0.0021463877,0.6258,0.0936,2.3132566308975218,0.4771
31,0.18372,2.292162621498108,0.0020390681,0.65334,0.0821,2.3161320543289183,0.4822
32,0.18118,2.291678389549255,0.0019371149,0.6491,0.091,2.3150148963928223,0.477
