epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.1006,2.303687626838684,0.01,0.49884,0.0836,2.305774145126343,0.4545
1,0.10734,2.3016329917907714,0.0095,0.51634,0.082,2.3049945878982543,0.5208
2,0.111,2.3002516412734986,0.009025,0.5272,0.0774,2.3070100355148315,0.4818
3,0.11614,2.2987156496047976,0.00857375,0.5394,0.0842,2.3079318475723265,0.4559
4,0.1208,2.297088786125183,0.008145062,0.54524,0.0631,2.312343282699585,0.442
5,0.1251,2.2951463279724122,0.0077378093,0.55084,0.0935,2.305917181968689,0.4951
6,0.12968,2.2923274765014647,0.007350919,0.56572,0.0748,2.3125157928466797,0.4639
7,0.1329,2.289459271430969,0.006983373,0.57086,0.108,2.31611807346344,0.4655
8,0.13696,2.285959319114685,0.006634204,0.57798,0.0898,2.316806073188782,0.465
9,0.14292,2.281325165748596,0.006302494,0.5888,0.0912,2.3204947566986083,0.4705
10,0.15032,2.2753850526809694,0.0059873695,0.59746,0.1073,2.3203535413742067,0.4771
11,0.15332,2.26981334400177,0.005688001,0.60728,0.0939,2.3243995332717895,0.493
12,0.1584,2.262124468803406,0.005403601,0.61698,0.0718,2.3546097660064698,0.4283
13,0.16548,2.254999208450317,0.0051334207,0.624,0.0932,2.3357015323638914,0.4777
14,0.17292,2.2454635753631593,0.0048767496,0.63326,0.1005,2.3351730489730835,0.4881
15,0.18072,2.2329455909729004,0.004632912,0.6471,0.0919,2.359034776687622,0.4608
16,0.1844,2.2227322006225587,0.0044012666,0.65466,0.0929,2.3593075132369994,0.4703
17,0.19464,2.207945725440979,0.0041812034,0.66916,0.097,2.3780258798599245,0.4575
18,0.20246,2.1935368156433106,0.0039721434,0.67688,0.0921,2.4114109897613525,0.4762
19,0.21024,2.17698916721344,0.003773536,0.69198,0.0955,2.4046923398971556,0.4777
20,0.2222,2.1569853744506835,0.0035848592,0.70388,0.1032,2.4059162378311156,0.4908
21,0.23122,2.1392572841644286,0.0034056162,0.71116,0.0967,2.419884691238403,0.4924
22,0.24268,2.1172616395950317,0.0032353355,0.72624,0.0969,2.45653977394104,0.4658
23,0.25278,2.0983115558624266,0.0030735687,0.73324,0.0844,2.4641006135940553,0.475
24,0.26078,2.0711744561195373,0.0029198902,0.74894,0.0991,2.464263095855713,0.5076
25,0.27612,2.045284620285034,0.0027738956,0.76048,0.1033,2.4841947746276856,0.4894
26,0.28058,2.027581159114838,0.002635201,0.76478,0.1071,2.518516297340393,0.5007
27,0.29818,1.9911167283058167,0.002503441,0.78154,0.091,2.585421099662781,0.4841
28,0.30866,1.9623465895652772,0.0023782689,0.79144,0.1066,2.5272158336639405,0.5245
29,0.3216,1.9302555956840515,0.0022593555,0.80252,0.0878,2.6201485872268675,0.4795
30,0.33508,1.9017322850227356,0.0021463877,0.8123,0.1001,2.586897540092468,0.5124
31,0.34408,1.8770663142204285,0.0020390681,0.8183,0.1041,2.6102651166915893,0.5104
32,0.35922,1.839541582584381,0.0019371149,0.82794,0.093,2.718125729560852,0.4944
33,0.36996,1.8078339476585388,0.0018402591,0.83712,0.1016,2.727941493988037,0.5004
34,0.38404,1.7768808584213256,0.0017482461,0.84524,0.0989,2.717632727622986,0.514
35,0.39546,1.7427982783317566,0.0016608338,0.8538,0.095,2.798528389930725,0.4828
36,0.40758,1.7103854722976684,0.0015777921,0.86112,0.1076,2.7358564567565917,0.52
37,0.41688,1.6849697198867797,0.0014989026,0.86666,0.0991,2.842454295158386,0.4985
38,0.43394,1.6464251356124877,0.0014239574,0.87426,0.1033,2.8834479236602784,0.4966
39,0.44826,1.6079355731010436,0.0013527595,0.88076,0.0958,2.974763765335083,0.4863
40,0.45722,1.5789731616973877,0.0012851215,0.88828,0.0903,2.9678991746902468,0.4915
41,0.47342,1.5360856895446777,0.0012208655,0.89542,0.0964,3.0464584827423096,0.4862
42,0.48916,1.5028992462158204,0.0011598222,0.9,0.0923,3.064514408111572,0.4911
43,0.50348,1.46320472240448,0.0011018311,0.90572,0.1086,3.0341524934768676,0.5228
44,0.51106,1.4375826277732848,0.0010467395,0.91212,0.095,3.1735336542129517,0.4818
45,0.52542,1.4051258730888367,0.0009944026,0.91458,0.0983,3.2119076681137084,0.4934
46,0.53734,1.371488386631012,0.00094468246,0.92104,0.0951,3.2412248992919923,0.4979
47,0.55088,1.335417025566101,0.00089744834,0.92566,0.104,3.266876983642578,0.4987
48,0.56342,1.3006434059143066,0.0008525759,0.93132,0.0968,3.325365381240845,0.4976
49,0.57494,1.2733901691436769,0.0008099471,0.93302,0.0975,3.343375020027161,0.4985
50,0.5852,1.2417095894813537,0.00076944975,0.936,0.102,3.3858710527420044,0.4992
51,0.59874,1.2076019315719604,0.0007309773,0.93976,0.103,3.4286885690689086,0.5051
52,0.61002,1.175047889471054,0.0006944284,0.9435,0.102,3.4953400135040282,0.495
53,0.61716,1.1577484965324403,0.000659707,0.94514,0.0989,3.6879326057434083,0.4909
54,0.63204,1.1234260449409486,0.00062672165,0.94948,0.096,3.6151838541030883,0.4905
55,0.64496,1.094091433763504,0.00059538556,0.95268,0.0937,3.6916038751602174,0.4878
56,0.64628,1.0796029603481292,0.0005656163,0.953,0.0932,3.726305022239685,0.4859
57,0.65972,1.0504418301582337,0.00053733547,0.95576,0.1011,3.6964203405380247,0.5042
58,0.67524,1.0162080938816072,0.0005104687,0.95874,0.103,3.743881220817566,0.5029
59,0.68402,0.9913106689453125,0.00048494525,0.96138,0.0991,3.8213020277023317,0.4934
60,0.69028,0.973494481086731,0.00046069798,0.96296,0.107,3.811122441291809,0.5096
61,0.69734,0.9519460551738739,0.00043766308,0.96494,0.0978,3.901235876083374,0.4964
62,0.70822,0.9290961503982544,0.00041577994,0.96602,0.1015,3.913593850135803,0.5039
63,0.7116,0.9141472804546357,0.00039499093,0.96764,0.0979,3.9548077249526976,0.4943
64,0.72532,0.8851398892402649,0.0003752414,0.96976,0.099,3.9976538038253784,0.4998
65,0.7324,0.8633433406352997,0.00035647932,0.97126,0.0937,4.063139414787292,0.4874
66,0.73846,0.8488294847011566,0.00033865534,0.97236,0.1033,4.070316677093506,0.5012
67,0.74814,0.8291058101654053,0.0003217226,0.97268,0.1015,4.10590594291687,0.4996
68,0.75846,0.8095170400142669,0.00030563647,0.9743,0.1032,4.125036597251892,0.5009
69,0.7616,0.7949385392665863,0.00029035463,0.97658,0.1013,4.178477568626404,0.4975
70,0.7703,0.7796163997650146,0.0002758369,0.9764,0.0982,4.2517064189910885,0.4897
71,0.77354,0.7656581463813782,0.00026204507,0.97742,0.0987,4.293783273696899,0.4954
72,0.77838,0.7526708533763885,0.00024894282,0.9783,0.1007,4.309367632865905,0.4935
73,0.78402,0.7388129682540894,0.00023649566,0.97844,0.1039,4.296379919052124,0.5037
74,0.78788,0.7281592102050781,0.00022467088,0.97968,0.1013,4.33557276725769,0.4995
75,0.7958,0.713228933095932,0.00021343734,0.98116,0.1005,4.376984643936157,0.4988
