epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10134,2.3031065320968627,0.01,0.49908,0.1075,2.298069701194763,0.5519
1,0.09856,2.3029985570907594,0.0095,0.49858,0.144,2.298492455482483,0.5286
2,0.10132,2.3027777013778685,0.009025,0.50016,0.1224,2.2989768028259276,0.5183
3,0.09922,2.302795206069946,0.00857375,0.49738,0.132,2.2987079668045043,0.5185
4,0.1001,2.3026714086532594,0.008145062,0.50206,0.1074,2.299231333732605,0.5418
5,0.10034,2.3026822652816774,0.0077378093,0.50118,0.1285,2.2989755630493165,0.5365
6,0.10174,2.302615804672241,0.007350919,0.50148,0.106,2.2992261457443237,0.5216
7,0.10232,2.3026054725646974,0.006983373,0.50328,0.1141,2.299804277420044,0.5601
8,0.10132,2.302577217102051,0.006634204,0.50118,0.1066,2.2996584463119505,0.523
9,0.10222,2.302502495765686,0.006302494,0.50666,0.1263,2.3001797723770143,0.5174
10,0.10396,2.302448169708252,0.0059873695,0.5062,0.1153,2.299734091758728,0.5214
11,0.10554,2.302345182418823,0.005688001,0.50758,0.1125,2.2999504709243777,0.5353
12,0.1037,2.302280479431152,0.005403601,0.50938,0.121,2.3004911518096924,0.5193
13,0.10656,2.302219964981079,0.0051334207,0.51254,0.1192,2.3000651216506958,0.5282
14,0.10466,2.3022076168060304,0.0048767496,0.51286,0.1091,2.3001699542999265,0.5164
15,0.10764,2.3021419916152954,0.004632912,0.5164,0.1227,2.2999696159362792,0.5124
16,0.105,2.302110263824463,0.0044012666,0.51924,0.116,2.300318331718445,0.5458
17,0.1087,2.3019859800338747,0.0041812034,0.51656,0.1161,2.3007569456100465,0.5292
18,0.10792,2.301971700668335,0.0039721434,0.51666,0.1124,2.3003574562072755,0.5282
19,0.11426,2.3018305225372315,0.003773536,0.5285,0.0966,2.3005671215057375,0.5106
20,0.11046,2.3018030433654784,0.0035848592,0.52586,0.0972,2.300637140274048,0.5236
21,0.1133,2.3017330503463747,0.0034056162,0.52492,0.103,2.3006275510787964,0.5306
22,0.10998,2.301637972831726,0.0032353355,0.5244,0.1035,2.3009428787231445,0.5395
23,0.11312,2.3015852899551392,0.0030735687,0.53218,0.102,2.3004345512390136,0.5316
24,0.11646,2.3015807342529295,0.0029198902,0.53274,0.1023,2.3005448627471923,0.5167
25,0.11184,2.3014302225112915,0.0027738956,0.54402,0.1092,2.300450563430786,0.5216
26,0.11788,2.3014340419769286,0.002635201,0.53646,0.1032,2.3004760360717773,0.5258
27,0.11502,2.3013076820373537,0.002503441,0.53796,0.1026,2.301014771461487,0.5359
28,0.12078,2.3012610912322997,0.0023782689,0.53688,0.109,2.300997090339661,0.5451
29,0.12222,2.301186690330505,0.0022593555,0.5396,0.1009,2.3009854221343993,0.5294
30,0.12154,2.301120990753174,0.0021463877,0.54806,0.1107,2.300617756843567,0.547
31,0.12096,2.3011222858428955,0.0020390681,0.55788,0.1069,2.3008696460723876,0.5329
32,0.13034,2.3010454530715942,0.0019371149,0.564,0.1037,2.30088707447052,0.5343
33,0.13394,2.3009846210479736,0.0018402591,0.56322,0.1052,2.3010387659072875,0.5327
34,0.1292,2.3009777641296387,0.0017482461,0.55558,0.1027,2.30110631942749,0.5227
35,0.129,2.3008788843154906,0.0016608338,0.5647,0.1048,2.301179733276367,0.5276
36,0.12956,2.3008678951263426,0.0015777921,0.57196,0.1017,2.3012800645828246,0.5254
37,0.1345,2.30080908203125,0.0014989026,0.57332,0.1026,2.3011508417129516,0.5304
38,0.12834,2.3007172193527223,0.0014239574,0.56538,0.104,2.301249680519104,0.5218
39,0.13236,2.3007154989242555,0.0013527595,0.5755,0.1058,2.301394557952881,0.5215
40,0.13412,2.3006568803787233,0.0012851215,0.57196,0.1076,2.300991497039795,0.5264
41,0.12906,2.3006528005599978,0.0012208655,0.57032,0.1055,2.3013443470001222,0.526
42,0.13484,2.3005594806671144,0.0011598222,0.57742,0.1046,2.3013465213775635,0.5143
43,0.13906,2.3005626401901247,0.0011018311,0.58004,0.107,2.3013420343399047,0.5282
44,0.13428,2.300498089790344,0.0010467395,0.57454,0.1058,2.301356039047241,0.5323
45,0.14304,2.30047296333313,0.0009944026,0.59032,0.1069,2.3013213872909546,0.5252
46,0.15236,2.3004593992233278,0.00094468246,0.6047,0.1053,2.3014211416244508,0.5241
47,0.13682,2.3003983478546144,0.00089744834,0.58224,0.1089,2.3015084218978883,0.53
