epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.27806,1.9978305177688598,0.01,0.7655,0.3427,1.8248807549476624,0.8338
1,0.41702,1.6414664583206178,0.0095,0.88116,0.4406,1.569289722442627,0.898
2,0.49464,1.4364835863113403,0.009025,0.91698,0.4998,1.420894284248352,0.9165
3,0.54786,1.2901705722808838,0.00857375,0.93506,0.4791,1.4963770389556885,0.9093
4,0.59162,1.1802386212348939,0.008145062,0.94654,0.5159,1.3849370312690734,0.9173
5,0.6239,1.0924483571052552,0.0077378093,0.95544,0.5279,1.3757144379615784,0.9136
6,0.65482,1.005842277765274,0.007350919,0.96312,0.5435,1.3605993247032167,0.9169
7,0.67826,0.9396368985176087,0.006983373,0.96782,0.557,1.3188518786430359,0.924
8,0.70278,0.8671029121875763,0.006634204,0.9728,0.5634,1.3058656120300294,0.9285
9,0.72568,0.8011998088359833,0.006302494,0.97616,0.5434,1.376014666557312,0.9239
10,0.7491,0.7336801502704621,0.0059873695,0.981,0.5502,1.3850891041755675,0.9278
11,0.76826,0.6771693463325501,0.005688001,0.98388,0.5745,1.3239208245277405,0.9298
12,0.78976,0.6199395281076431,0.005403601,0.98646,0.5759,1.356319386959076,0.9316
13,0.81038,0.5599599585533143,0.0051334207,0.98884,0.5622,1.4542947578430176,0.9199
14,0.8298,0.5040132009983063,0.0048767496,0.9911,0.5429,1.630477488040924,0.9143
15,0.8539,0.44072721469402315,0.004632912,0.99334,0.5515,1.6169524693489075,0.9107
16,0.86642,0.4013447031974792,0.0044012666,0.9945,0.569,1.5673972988128662,0.9242
17,0.88594,0.34825665652751925,0.0041812034,0.9958,0.5478,1.764492621421814,0.9094
18,0.90146,0.30495797365903854,0.0039721434,0.99712,0.551,1.7929916501045227,0.9091
19,0.91806,0.2632384758591652,0.003773536,0.99752,0.5484,1.8689865279197693,0.9148
20,0.9356,0.21656345862150192,0.0035848592,0.99826,0.5512,1.8969499015808104,0.9136
21,0.9494,0.1820381031036377,0.0034056162,0.99884,0.5596,1.929188494682312,0.9225
22,0.95862,0.1533972225189209,0.0032353355,0.99922,0.5627,1.9659993028640748,0.918
23,0.97254,0.1185529011785984,0.0030735687,0.9994,0.5475,2.1718777656555175,0.9181
24,0.97892,0.09888532020151615,0.0029198902,0.9997,0.5572,2.1681265354156496,0.9176
25,0.98594,0.07857355999946594,0.0027738956,0.99974,0.5521,2.348635284900665,0.915
26,0.99112,0.0621651124805212,0.002635201,0.99984,0.548,2.3972853684425353,0.9111
27,0.99402,0.05012704750150442,0.002503441,0.9999,0.5556,2.416699697971344,0.9121
28,0.99562,0.042254511050879955,0.0023782689,0.99992,0.5556,2.467537350654602,0.9132
29,0.99758,0.03419498675316572,0.0022593555,0.99996,0.5572,2.4990505027770995,0.9151
30,0.99812,0.029013360500335695,0.0021463877,0.99996,0.5527,2.6099003839492796,0.9131
31,0.9987,0.025311709847301245,0.0020390681,0.99998,0.5508,2.65624605178833,0.911
32,0.99906,0.021885581087321044,0.0019371149,0.99998,0.5495,2.6931807661056517,0.9131
33,0.99948,0.01936179594323039,0.0018402591,0.99998,0.5536,2.6859562015533447,0.9135
34,0.9996,0.01731502865999937,0.0017482461,0.99998,0.5508,2.7484347200393677,0.9112
35,0.99968,0.015739644449204206,0.0016608338,1.0,0.5529,2.759206051826477,0.9137
36,0.99974,0.014544219236820937,0.0015777921,1.0,0.5521,2.7975188636779786,0.9114
37,0.99976,0.013379823550581931,0.0014989026,1.0,0.5528,2.818533296585083,0.9115
38,0.99982,0.012474826902151109,0.0014239574,1.0,0.5478,2.8768622732162474,0.9097
39,0.99984,0.011751224460080267,0.0013527595,1.0,0.5514,2.8880709314346316,0.9106
40,0.9999,0.011068476589396596,0.0012851215,1.0,0.5533,2.858304738998413,0.9111
41,0.99992,0.010539528595283627,0.0012208655,1.0,0.5487,2.930303611755371,0.9109
42,0.99996,0.010028679909184575,0.0011598222,1.0,0.5506,2.9330226373672486,0.9105
43,0.99996,0.009584337687119842,0.0011018311,1.0,0.5528,2.9197601461410523,0.9113
44,0.99996,0.009202761344611645,0.0010467395,1.0,0.5517,2.9356934881210326,0.9114
45,0.99996,0.008869395213201643,0.0009944026,1.0,0.5521,2.952606272697449,0.9109
46,1.0,0.008576946929097176,0.00094468246,1.0,0.5497,2.9819098281860352,0.9106
47,1.0,0.008305150203406811,0.00089744834,1.0,0.5491,3.0061575412750243,0.9098
