epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.33798,1.8338158526420594,0.01,0.83076,0.4605,1.5200216627120973,0.9103
1,0.49662,1.4168703789711,0.0095,0.92302,0.5272,1.3313833951950074,0.9369
2,0.56926,1.2309620213508605,0.009025,0.94458,0.5692,1.213882348537445,0.9493
3,0.6153,1.1043908267021179,0.00857375,0.9558,0.5948,1.162751190662384,0.9497
4,0.649,1.0047453558444976,0.008145062,0.96558,0.6053,1.1176132762432098,0.9593
5,0.68188,0.9230341291427613,0.0077378093,0.97052,0.6401,1.0400257229804992,0.9611
6,0.7057,0.8564655973911285,0.007350919,0.97476,0.6473,1.0339416909217833,0.9622
7,0.7288,0.786914113998413,0.006983373,0.97888,0.6573,0.9953932404518128,0.9649
8,0.75322,0.7194062190055848,0.006634204,0.9825,0.6659,0.9911127436161041,0.9659
9,0.77246,0.6636052498817444,0.006302494,0.98516,0.6685,0.9938003206253052,0.9681
10,0.7942,0.6028570744991303,0.0059873695,0.98848,0.6539,1.078738830089569,0.9623
11,0.81134,0.5540448482036591,0.005688001,0.99014,0.6725,1.0024297547340393,0.9667
12,0.82868,0.5003253564834594,0.005403601,0.9922,0.6794,1.020847944021225,0.9678
13,0.85206,0.44251891899108886,0.0051334207,0.99338,0.6764,1.0622670221328736,0.9644
14,0.86,0.4106000697016716,0.0048767496,0.99506,0.6726,1.109620416164398,0.9648
15,0.881,0.35595925295352937,0.004632912,0.9955,0.6678,1.140851172208786,0.9673
16,0.89404,0.3164389408826828,0.0044012666,0.99698,0.6682,1.1840068650245668,0.9655
17,0.9075,0.2788167265057564,0.0041812034,0.99766,0.6746,1.1772962272167207,0.9665
18,0.92658,0.23136384332180024,0.0039721434,0.99836,0.6776,1.2358085584640504,0.9643
19,0.9394,0.19839194303750993,0.003773536,0.9987,0.6716,1.2984913516044616,0.9649
20,0.9485,0.1714720311164856,0.0035848592,0.99906,0.6718,1.3779655122756957,0.962
21,0.95934,0.1431977183520794,0.0034056162,0.99926,0.6774,1.3965318012237549,0.9638
22,0.96804,0.11981048366427421,0.0032353355,0.9995,0.675,1.4256565427780152,0.9631
23,0.9764,0.09640055805444718,0.0030735687,0.99966,0.6751,1.4970515203475951,0.9647
24,0.9833,0.07791884057223797,0.0029198902,0.99976,0.6732,1.548564887046814,0.9606
25,0.98764,0.06545972937345505,0.0027738956,0.99986,0.6759,1.558070056438446,0.9634
26,0.99258,0.050736121244728566,0.002635201,0.99988,0.6789,1.618602340221405,0.9651
27,0.99492,0.04176648480445146,0.002503441,0.99992,0.677,1.6565488719940185,0.9641
28,0.99674,0.03460587090998888,0.0023782689,0.99994,0.6733,1.6965310740470887,0.9622
29,0.99808,0.02922983494400978,0.0022593555,0.99996,0.6782,1.7158348441123963,0.9633
30,0.99854,0.024855281323194502,0.0021463877,0.99996,0.6752,1.7595185017585755,0.9639
31,0.99902,0.021868437245488166,0.0020390681,0.99996,0.6768,1.7648141026496886,0.9628
32,0.99934,0.019293563313782215,0.0019371149,0.99996,0.6758,1.8051074028015137,0.963
33,0.9994,0.017780623488128186,0.0018402591,0.99996,0.6762,1.8061208510398865,0.9634
34,0.99958,0.015691680323332548,0.0017482461,0.99996,0.6775,1.8313161373138427,0.9642
35,0.99966,0.014603144150227308,0.0016608338,0.99998,0.6741,1.8553669929504395,0.9635
36,0.99962,0.013554801415652037,0.0015777921,1.0,0.6761,1.86367036819458,0.9627
37,0.99978,0.012648098208010196,0.0014989026,1.0,0.6774,1.8743210172653197,0.9626
38,0.9998,0.011782168025150894,0.0014239574,1.0,0.6772,1.8934063386917115,0.9631
39,0.9998,0.011176422784104943,0.0013527595,1.0,0.6765,1.9019279956817627,0.963
40,0.99982,0.01064598272740841,0.0012851215,1.0,0.676,1.9171965789794922,0.9627
41,0.99986,0.010108596418052911,0.0012208655,1.0,0.6767,1.9239374446868895,0.9628
42,0.99986,0.009728537382557988,0.0011598222,1.0,0.6763,1.9376545667648315,0.9626
43,0.9999,0.00934569020755589,0.0011018311,1.0,0.676,1.942817087173462,0.9626
44,0.9999,0.008990901995450258,0.0010467395,1.0,0.6763,1.9525644516944884,0.9631
45,0.9999,0.008691042030230165,0.0009944026,1.0,0.6768,1.9575855922698975,0.9624
46,0.99994,0.008422184092924,0.00094468246,1.0,0.676,1.9659776949882508,0.9625
47,0.99994,0.008173369117081166,0.00089744834,1.0,0.6757,1.97429039478302,0.9625
48,0.99996,0.007954784421250223,0.0008525759,1.0,0.6754,1.9806452345848085,0.9624
49,0.99992,0.00778240972943604,0.0008099471,1.0,0.6761,1.986356761455536,0.9626
50,0.99994,0.007611059529706836,0.00076944975,1.0,0.6773,1.9887815880775452,0.9623
51,0.99996,0.00741486587934196,0.0007309773,1.0,0.6758,1.9951624536514283,0.9625
52,0.99996,0.007268568404018879,0.0006944284,1.0,0.6758,2.0000227332115172,0.9622
53,0.99992,0.007142699956893921,0.000659707,1.0,0.6748,2.0043856167793273,0.9624
54,0.99996,0.007016483914107084,0.00062672165,1.0,0.6763,2.008521406650543,0.9623
55,0.99998,0.006913524286821485,0.00059538556,1.0,0.6761,2.0118839287757875,0.9626
56,0.99998,0.006799903580918908,0.0005656163,1.0,0.6764,2.0165014481544494,0.962
57,0.99998,0.006703440695069731,0.00053733547,1.0,0.6766,2.0177369785308836,0.9626
58,0.99998,0.006613531414419413,0.0005104687,1.0,0.6754,2.0216083455085756,0.9621
59,0.99998,0.00653023187071085,0.00048494525,1.0,0.6764,2.025413873195648,0.9623
60,0.99998,0.006448466860689223,0.00046069798,1.0,0.6766,2.0269572019577025,0.9624
61,0.99998,0.00637929936684668,0.00043766308,1.0,0.6763,2.029815616607666,0.9625
62,0.99998,0.0063222364950925114,0.00041577994,1.0,0.6756,2.032350835800171,0.9627
63,0.99998,0.006244862332940102,0.00039499093,1.0,0.6758,2.0339608335494996,0.9622
64,0.99998,0.006192691057920456,0.0003752414,1.0,0.6758,2.0369065833091735,0.9622
65,0.99998,0.006132231848314404,0.00035647932,1.0,0.6764,2.0382010769844054,0.9624
66,0.99998,0.006086941313929855,0.00033865534,1.0,0.675,2.040591278076172,0.9626
67,0.99998,0.006037765055894852,0.0003217226,1.0,0.6758,2.0421243476867676,0.9622
68,0.99998,0.005990624411962926,0.00030563647,1.0,0.6757,2.044573543071747,0.9623
69,0.99998,0.005947971059009433,0.00029035463,1.0,0.6757,2.0455574584007263,0.9625
70,0.99998,0.005909555465914309,0.0002758369,1.0,0.6765,2.047364993095398,0.9625
71,0.99998,0.005873392410576344,0.00026204507,1.0,0.6764,2.0501271367073057,0.9623
72,0.99998,0.0058372702533379195,0.00024894282,1.0,0.6762,2.0504639244079588,0.9624
73,0.99998,0.005807294595055282,0.00023649566,1.0,0.6757,2.051475760936737,0.9625
74,0.99998,0.005769356522709131,0.00022467088,1.0,0.6762,2.052693347930908,0.9624
75,0.99998,0.005745120466686785,0.00021343734,1.0,0.6759,2.0537985730171204,0.9624
76,0.99998,0.005722783226519823,0.00020276547,1.0,0.6759,2.0547761583328246,0.9623
77,0.99998,0.005694684948772192,0.0001926272,1.0,0.6757,2.057095730304718,0.9626
78,0.99998,0.005669134749099612,0.00018299583,1.0,0.6761,2.05603973865509,0.9622
79,0.99998,0.005648312030360102,0.00017384604,1.0,0.6758,2.05819167137146,0.9624
80,0.99998,0.005626142673194409,0.00016515375,1.0,0.6755,2.0589078283309936,0.9624
81,0.99998,0.005604202812537551,0.00015689606,1.0,0.6756,2.059831130504608,0.9623
