epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09894,2.3517470235824587,0.1,0.49644,0.114,2.500747652053833,0.4927
1,0.11112,2.3143999137878417,0.095,0.52808,0.1053,2.914566607475281,0.4911
2,0.12586,2.2989987087249757,0.09025,0.55214,0.0967,2.892538933753967,0.4774
3,0.14314,2.2767802877426147,0.0857375,0.58558,0.1002,3.846638197898865,0.5083
4,0.1666,2.24678320980072,0.081450626,0.62548,0.1024,3.2967554712295533,0.4867
5,0.19654,2.1992573680877685,0.077378094,0.66592,0.0993,5.204866342544555,0.5086
6,0.23688,2.1242172837257387,0.07350919,0.7174,0.1006,6.406333618164062,0.4705
7,0.28732,2.006719346523285,0.06983373,0.77138,0.0793,5.142906990051269,0.4991
8,0.34516,1.8641901454925538,0.06634204,0.823,0.1003,7.806558990478516,0.5362
9,0.41874,1.6724579315185546,0.06302494,0.87228,0.0707,8.563972206115723,0.4948
10,0.49896,1.4484658768177032,0.059873693,0.91202,0.0901,10.736110725402831,0.4988
11,0.58574,1.2104240617752076,0.05688001,0.94746,0.0876,9.007603330612183,0.5497
12,0.6694,0.9682821443080902,0.05403601,0.96842,0.1464,10.631001014709472,0.518
13,0.7525,0.7275449188947678,0.05133421,0.98546,0.1177,12.034544277191163,0.5064
14,0.81872,0.533012395143509,0.0487675,0.99332,0.1152,11.610120639801025,0.5156
15,0.87184,0.37991064190864565,0.046329122,0.99746,0.1347,11.828380947113038,0.4901
16,0.90992,0.2641754280924797,0.044012666,0.9988,0.1203,10.947173728942872,0.5523
17,0.94748,0.15713490372896194,0.041812032,0.99974,0.122,11.910880374908448,0.5163
18,0.97696,0.07334315896034241,0.039721433,0.99996,0.1173,12.398407592773438,0.5303
19,0.9951,0.023099497325718404,0.03773536,1.0,0.1338,10.805359363555908,0.528
20,0.9999,0.00433136547356844,0.03584859,1.0,0.1248,11.469301147460937,0.5142
21,1.0,0.001503198279766366,0.034056164,1.0,0.1251,11.46200496673584,0.5135
22,1.0,0.0010761331766843795,0.032353353,1.0,0.1249,11.490942096710205,0.5142
23,1.0,0.0008755126185715198,0.030735686,1.0,0.1251,11.540177726745606,0.5136
24,1.0,0.0007571985432878137,0.029198902,1.0,0.1247,11.550326671600342,0.5122
25,1.0,0.0006718835609499365,0.027738957,1.0,0.1249,11.571511993408203,0.5123
26,1.0,0.0006136052169604226,0.026352009,1.0,0.1248,11.603033542633057,0.5122
27,1.0,0.0005815151801798492,0.025034409,1.0,0.1251,11.60894567489624,0.5113
28,1.0,0.0005324338499922306,0.02378269,1.0,0.1251,11.622552795410156,0.5115
29,1.0,0.0005034375534160063,0.022593554,1.0,0.1253,11.63885269165039,0.5108
30,1.0,0.00048249769781250507,0.021463877,1.0,0.1255,11.6598854637146,0.5106
31,1.0,0.0004522483835462481,0.020390682,1.0,0.1252,11.673152637481689,0.5103
32,1.0,0.00043552910152357073,0.019371148,1.0,0.1262,11.676030197143554,0.5108
33,1.0,0.00042277083138469605,0.018402591,1.0,0.1257,11.689256420135498,0.5108
34,1.0,0.000401793071301654,0.017482461,1.0,0.1257,11.69710018157959,0.5111
35,1.0,0.0003948909091996029,0.016608339,1.0,0.1261,11.707382469177245,0.5108
36,1.0,0.00037947544804774224,0.015777921,1.0,0.1254,11.708845481872558,0.5119
37,1.0,0.0003650338769657537,0.014989025,1.0,0.1259,11.707448043823241,0.5118
38,1.0,0.0003521179375238717,0.014239574,1.0,0.1258,11.712183742523193,0.5114
39,1.0,0.000352423710108269,0.013527595,1.0,0.1261,11.715695095062255,0.5115
40,1.0,0.00034454477875260636,0.012851216,1.0,0.1254,11.715081062316894,0.5117
