epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10236,2.3534577531814573,0.1,0.50214,0.134,2.4053236770629884,0.4879
1,0.10852,2.3112004461288453,0.095,0.51832,0.1002,2.574122495651245,0.5111
2,0.11958,2.300137487411499,0.09025,0.54158,0.1084,2.806801428794861,0.5027
3,0.13486,2.2852752504348754,0.0857375,0.57038,0.0968,3.5032406663894653,0.4792
4,0.15174,2.266389711380005,0.081450626,0.59644,0.098,3.81591281414032,0.4947
5,0.1796,2.224957932472229,0.077378094,0.64536,0.1053,4.7265433502197265,0.5107
6,0.21544,2.1630219683647156,0.07350919,0.69166,0.1076,5.379300565719604,0.4841
7,0.25786,2.0712311611175536,0.06983373,0.74754,0.0986,8.565608110427856,0.4955
8,0.31524,1.9384721546173096,0.06634204,0.7976,0.0952,11.11877161026001,0.4777
9,0.38028,1.7726013650894166,0.06302494,0.84866,0.1,14.425441589355469,0.4904
10,0.4609,1.5580553817749023,0.059873693,0.89596,0.0799,11.947430210113525,0.5024
11,0.54162,1.3296862003803254,0.05688001,0.93158,0.0809,11.258735313415528,0.5003
12,0.63028,1.07708171749115,0.05403601,0.9604,0.1001,14.480244026184081,0.4929
13,0.71062,0.8466970938444137,0.05133421,0.97814,0.1191,12.298822345733642,0.5021
14,0.78118,0.6399053517580032,0.0487675,0.98944,0.0998,14.350378074645995,0.4741
15,0.843,0.45600373184680937,0.046329122,0.9959,0.0982,14.064140796661377,0.5024
16,0.8893,0.3232213852405548,0.044012666,0.99798,0.1029,13.843050937652588,0.5056
17,0.9292,0.20742389777302742,0.041812032,0.99942,0.0909,13.879942874908448,0.5065
18,0.96404,0.11193541698157787,0.039721433,0.9999,0.1,14.501596794128417,0.7235
19,0.98632,0.04894358664751053,0.03773536,0.99998,0.1048,14.284008960723877,0.4949
20,0.9985,0.011695527562871575,0.03584859,1.0,0.101,14.455349941253662,0.5198
21,0.99998,0.0024664983181282877,0.034056164,1.0,0.1027,14.361365509033202,0.516
22,1.0,0.0012886723107658326,0.032353353,1.0,0.103,14.350261783599853,0.5158
23,1.0,0.0010362988598644734,0.030735686,1.0,0.1028,14.358458194732666,0.5163
24,1.0,0.0008405794724822044,0.029198902,1.0,0.103,14.354736957550049,0.5162
25,1.0,0.0007574656064389273,0.027738957,1.0,0.103,14.35534912109375,0.517
26,1.0,0.0006725247830618173,0.026352009,1.0,0.1031,14.351699256896973,0.518
27,1.0,0.0006086799676995725,0.025034409,1.0,0.1029,14.357725982666016,0.519
28,1.0,0.0005701445640297607,0.02378269,1.0,0.1029,14.356981582641602,0.5186
29,1.0,0.000534410901600495,0.022593554,1.0,0.103,14.358148193359375,0.5192
30,1.0,0.0004930202678078786,0.021463877,1.0,0.1029,14.35972620010376,0.5199
31,1.0,0.00046811120165511964,0.020390682,1.0,0.1029,14.360209846496582,0.5202
32,1.0,0.00046503076818771663,0.019371148,1.0,0.103,14.35965238571167,0.5209
33,1.0,0.0004328514831140637,0.018402591,1.0,0.103,14.359652061462402,0.5215
34,1.0,0.0004275732495589182,0.017482461,1.0,0.1031,14.358718776702881,0.5228
35,1.0,0.0003995019728317857,0.016608339,1.0,0.1029,14.361176223754883,0.5232
36,1.0,0.00040315719635691496,0.015777921,1.0,0.1029,14.360926322937011,0.5234
37,1.0,0.00037691167485900224,0.014989025,1.0,0.1029,14.362046298980713,0.5236
38,1.0,0.0003647883617086336,0.014239574,1.0,0.1029,14.362092609405517,0.5236
39,1.0,0.0003566585456719622,0.013527595,1.0,0.1029,14.362916984558105,0.5246
40,1.0,0.0003520367969176732,0.012851216,1.0,0.1029,14.363826236724854,0.5245
