epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09968,2.3040513200759887,0.1,0.49872,0.1,2.3043388652801515,0.5
1,0.1012,2.30370810508728,0.095,0.4993,0.1,2.3038147783279417,0.499
2,0.0987,2.3036274614334107,0.09025,0.49946,0.1,2.306391468048096,0.5266
3,0.10086,2.303446949005127,0.0857375,0.50358,0.0956,2.303403391838074,0.5042
4,0.10114,2.303298798561096,0.081450626,0.50372,0.1221,2.3051267147064207,0.458
5,0.0995,2.3031155920028685,0.077378094,0.50316,0.059,2.3049564743041993,0.5028
6,0.099,2.3029587965011595,0.07350919,0.50632,0.1099,2.305112886428833,0.5077
7,0.10116,2.3030930814743042,0.06983373,0.50096,0.1068,2.3065377187728884,0.4892
8,0.1038,2.3028956203460695,0.06634204,0.50412,0.1,2.3066502380371094,0.4666
9,0.10202,2.3029276971817016,0.06302494,0.5041,0.0883,2.3056574392318727,0.494
10,0.10218,2.3029139242172243,0.059873693,0.50718,0.1011,2.3051741313934326,0.4797
11,0.10558,2.302679894447327,0.05688001,0.5051,0.1035,2.3056869602203367,0.4492
12,0.1044,2.3025401153564453,0.05403601,0.50846,0.1103,2.307287502288818,0.4406
13,0.10362,2.3026575317382814,0.05133421,0.50774,0.0919,2.305913233757019,0.4924
14,0.10426,2.3023182668685913,0.0487675,0.50874,0.0761,2.3078154706954956,0.4601
15,0.10406,2.30244753742218,0.046329122,0.50662,0.0893,2.3055041313171385,0.4266
16,0.1043,2.302209475517273,0.044012666,0.50826,0.0997,2.307257390022278,0.4823
17,0.107,2.3020016813278197,0.041812032,0.51304,0.0885,2.3079427003860475,0.4895
18,0.10692,2.3020515260696413,0.039721433,0.51198,0.086,2.3075025844573975,0.4641
19,0.10734,2.301790162086487,0.03773536,0.51198,0.0939,2.3101939153671265,0.4375
20,0.10462,2.301732768058777,0.03584859,0.51268,0.0639,2.310419783592224,0.425
21,0.10696,2.3015163469314577,0.034056164,0.51572,0.0804,2.3111625957489013,0.4279
22,0.10672,2.3012847232818605,0.032353353,0.5157,0.0782,2.316063599586487,0.4704
23,0.1085,2.3012446403503417,0.030735686,0.5167,0.1193,2.3129056453704835,0.4594
24,0.10904,2.301161273956299,0.029198902,0.51894,0.0803,2.3107240056991576,0.4558
25,0.10802,2.3009463062286377,0.027738957,0.51648,0.0478,2.3106797790527343,0.4558
26,0.11146,2.300420627593994,0.026352009,0.52512,0.1026,2.3112540102005004,0.4736
27,0.11044,2.3003846349716186,0.025034409,0.52306,0.0909,2.3140725088119507,0.4563
28,0.11176,2.3000106382369996,0.02378269,0.52406,0.0994,2.3125681924819945,0.4557
29,0.1127,2.300136890411377,0.022593554,0.52296,0.1042,2.3155181407928467,0.4432
30,0.1128,2.299777629852295,0.021463877,0.52784,0.0735,2.3129899454116822,0.4442
31,0.1132,2.2992978286743164,0.020390682,0.52726,0.09,2.3135793161392213,0.449
32,0.11406,2.2990832929611207,0.019371148,0.5324,0.0711,2.3147317504882814,0.443
33,0.11488,2.298814637184143,0.018402591,0.53152,0.0704,2.317540755271912,0.4845
34,0.11474,2.2982166109085083,0.017482461,0.53546,0.0809,2.3155417680740356,0.4498
35,0.11662,2.297977316856384,0.016608339,0.53578,0.0884,2.319104247093201,0.4528
36,0.11478,2.2980327434539793,0.015777921,0.5344,0.0752,2.3145483207702635,0.4552
37,0.11654,2.297402846336365,0.014989025,0.53794,0.0786,2.314615321159363,0.4576
38,0.11936,2.296820436477661,0.014239574,0.54028,0.0665,2.32099937915802,0.4458
39,0.11868,2.2963469915390013,0.013527595,0.5425,0.1006,2.317964129447937,0.4649
40,0.11908,2.296124419212341,0.012851216,0.54336,0.0753,2.3223609018325804,0.4639
41,0.11932,2.2955682125091554,0.012208655,0.54588,0.0633,2.325609927177429,0.435
42,0.12156,2.2948530731201173,0.011598222,0.54474,0.0779,2.3243243980407713,0.4472
43,0.11912,2.2944662780761718,0.011018311,0.54784,0.0896,2.3183096122741698,0.4551
44,0.12336,2.293471517562866,0.010467395,0.55088,0.0793,2.322921380996704,0.4381
45,0.12452,2.2927619524002076,0.009944025,0.55454,0.0788,2.3216969394683837,0.4526
46,0.12738,2.2914454107284548,0.009446824,0.55644,0.0838,2.3278901863098143,0.4491
47,0.12622,2.2912087087631225,0.008974483,0.55968,0.0817,2.3206680393218995,0.4733
48,0.12838,2.2901325759887694,0.008525759,0.55932,0.0706,2.329438009262085,0.456
49,0.12708,2.288982963562012,0.008099471,0.56398,0.0923,2.3281941747665407,0.4681
50,0.13106,2.288058882713318,0.0076944977,0.56568,0.0853,2.331706175804138,0.4754
51,0.13292,2.286266773223877,0.0073097725,0.56692,0.0735,2.3296069574356078,0.444
52,0.13462,2.284818332672119,0.006944284,0.57178,0.079,2.3236931228637694,0.476
53,0.13508,2.2833322601318358,0.00659707,0.5771,0.083,2.337051386833191,0.4578
54,0.13588,2.2817363328933715,0.0062672165,0.5781,0.0904,2.327485194206238,0.4685
55,0.1374,2.279474105834961,0.0059538553,0.5842,0.0772,2.325302143096924,0.472
56,0.14022,2.2785289030075075,0.0056561627,0.58294,0.076,2.328943819999695,0.4572
57,0.14076,2.2759186182022093,0.0053733545,0.58952,0.0759,2.3402580070495604,0.4774
58,0.14372,2.273446708679199,0.005104687,0.59206,0.0869,2.331031532287598,0.4904
59,0.14664,2.270215377807617,0.0048494525,0.59892,0.0892,2.3375741481781005,0.5039
60,0.14956,2.2678160181045532,0.00460698,0.60058,0.0991,2.3596920013427733,0.4433
61,0.15094,2.2643345174789427,0.0043766308,0.60276,0.0924,2.3409418487548828,0.4657
62,0.15448,2.261543099403381,0.0041577993,0.61398,0.1021,2.3336530351638793,0.4916
63,0.15718,2.2575547399520874,0.0039499095,0.61294,0.0937,2.345797200202942,0.4806
64,0.16082,2.25340252494812,0.003752414,0.61814,0.0891,2.3595705699920653,0.4813
65,0.16586,2.2454735069274903,0.0035647932,0.62754,0.0853,2.3619184732437133,0.4723
66,0.16612,2.2425383367538454,0.0033865536,0.6315,0.1003,2.3666015434265137,0.4693
67,0.17632,2.2356844644546507,0.003217226,0.63618,0.0857,2.354182257652283,0.4824
68,0.1786,2.2252355461120605,0.0030563646,0.64434,0.074,2.3710879278182984,0.475
69,0.17906,2.2216406002044677,0.0029035464,0.65168,0.0921,2.3815671586990357,0.4787
70,0.18764,2.2140339517593386,0.002758369,0.65704,0.0831,2.4155575323104856,0.4728
71,0.19478,2.201177366256714,0.0026204507,0.66778,0.0921,2.4068239307403565,0.4854
72,0.19802,2.192303201675415,0.002489428,0.67304,0.0924,2.4260529708862304,0.4795
73,0.2048,2.180957550048828,0.0023649568,0.6816,0.0904,2.3970066261291505,0.4752
74,0.20524,2.1720432434082033,0.0022467088,0.68812,0.0924,2.4240457963943483,0.4781
75,0.2179,2.153928867340088,0.0021343734,0.70072,0.0961,2.3965512466430665,0.4927
76,0.22314,2.1358069620132447,0.0020276548,0.71226,0.1109,2.4189630508422852,0.5033
77,0.23192,2.1164881677627565,0.001926272,0.72268,0.0905,2.499668173789978,0.4804
78,0.2388,2.101139323234558,0.0018299584,0.73,0.0924,2.509819498062134,0.4871
79,0.2514,2.0753308062553404,0.0017384605,0.74064,0.0901,2.5040475606918333,0.484
80,0.25902,2.056050756931305,0.0016515375,0.7504,0.1015,2.496577625274658,0.4912
81,0.26428,2.0376346802711485,0.0015689606,0.76148,0.0975,2.5177657842636108,0.5033
82,0.2825,1.9943840289115906,0.0014905125,0.7795,0.0953,2.569601697921753,0.4867
83,0.29018,1.9781506733894347,0.0014159869,0.78228,0.0971,2.557134289741516,0.4892
84,0.29844,1.9595291352272033,0.0013451875,0.79076,0.1002,2.553587837219238,0.4923
85,0.31378,1.9153053741455077,0.0012779282,0.80778,0.1029,2.7008037900924684,0.4792
86,0.32522,1.8887172374725343,0.0012140318,0.8156,0.0883,2.680456557273865,0.4886
87,0.34424,1.835710099220276,0.0011533302,0.83366,0.1033,2.76237669467926,0.5021
88,0.35226,1.8191387476921081,0.0010956636,0.83658,0.101,2.7743340921401978,0.4915
89,0.36606,1.7704760808944702,0.0010408805,0.85188,0.1027,2.7894342279434206,0.4941
90,0.3945,1.7016768612861632,0.0009888365,0.86882,0.1027,3.0404961681365967,0.5013
91,0.39598,1.690164629459381,0.00093939464,0.8736,0.1032,2.8928487634658815,0.4985
92,0.41152,1.6496863856315613,0.0008924249,0.87898,0.1029,3.0704491758346557,0.5029
93,0.43478,1.5820336103439332,0.00084780366,0.89476,0.0973,3.00004310131073,0.5033
