epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.0977,2.303879942893982,0.1,0.49534,0.1,2.3035879135131836,0.4812
1,0.09992,2.303651885986328,0.095,0.49862,0.1,2.3044563055038454,0.4857
2,0.09878,2.3037141542434694,0.09025,0.5008,0.1,2.3032630920410155,0.4998
3,0.09882,2.3037421226501467,0.0857375,0.49664,0.1,2.303360357284546,0.5005
4,0.0998,2.3036825723648073,0.081450626,0.4983,0.1,2.303993988037109,0.5
5,0.09986,2.3035641565322877,0.077378094,0.49826,0.1,2.3041927814483643,0.5
6,0.09916,2.303453342437744,0.07350919,0.4969,0.0981,2.3035359477996824,0.5
7,0.10038,2.303354470252991,0.06983373,0.49742,0.1,2.3039575242996215,0.4898
8,0.10028,2.3034633588790894,0.06634204,0.4982,0.0961,2.303344240188599,0.5
9,0.10026,2.303330719947815,0.06302494,0.4991,0.1,2.3033437871932985,0.5002
10,0.09696,2.3034195365905763,0.059873693,0.49648,0.1,2.3031642913818358,0.5
11,0.098,2.30346383190155,0.05688001,0.4971,0.1,2.303181538581848,0.5
12,0.09916,2.3032254695892336,0.05403601,0.49848,0.1005,2.3034705305099488,0.4986
13,0.09684,2.303412088394165,0.05133421,0.50004,0.1,2.3034633779525757,0.4946
14,0.09872,2.303081992149353,0.0487675,0.4997,0.0722,2.3039004135131838,0.5
15,0.09916,2.303179869651794,0.046329122,0.50084,0.1,2.303325810432434,0.5
16,0.09896,2.3030843238830565,0.044012666,0.49608,0.0995,2.303288598060608,0.4789
17,0.0977,2.303211356163025,0.041812032,0.49514,0.1,2.3032686853408815,0.5005
18,0.1005,2.303019229888916,0.039721433,0.49996,0.0881,2.3031989622116087,0.5008
19,0.09868,2.302973575592041,0.03773536,0.50292,0.1,2.3034506130218504,0.5
20,0.09872,2.3030682897567747,0.03584859,0.49768,0.1,2.3032536935806274,0.5
21,0.0993,2.3030062446594237,0.034056164,0.49596,0.1,2.3032808923721313,0.496
22,0.0988,2.303016634941101,0.032353353,0.4945,0.0911,2.303270754814148,0.4783
23,0.09978,2.3029414405822752,0.030735686,0.50116,0.0739,2.303161392211914,0.5
24,0.10024,2.302923635482788,0.029198902,0.49798,0.1,2.3031903982162474,0.4953
25,0.09994,2.302901132583618,0.027738957,0.50056,0.1,2.3033228731155395,0.5008
26,0.09818,2.3029055194854737,0.026352009,0.49818,0.1,2.3034129762649536,0.4948
27,0.0988,2.3028595352172854,0.025034409,0.4974,0.1,2.3033346128463745,0.4698
28,0.10026,2.302822159767151,0.02378269,0.49874,0.1,2.3035348081588745,0.5
29,0.09916,2.3029249877929687,0.022593554,0.4975,0.0999,2.3032026195526125,0.5075
30,0.0995,2.3028346633911134,0.021463877,0.49786,0.1,2.3032193183898926,0.4968
31,0.09928,2.302768671989441,0.020390682,0.49984,0.0691,2.3033105611801146,0.5
32,0.09846,2.30271328163147,0.019371148,0.50026,0.0718,2.303374390602112,0.5
33,0.09848,2.3028043537139893,0.018402591,0.49578,0.1,2.3033300971984865,0.5106
34,0.10014,2.3027506742477417,0.017482461,0.50208,0.1,2.3032854318618776,0.531
35,0.09942,2.3027445135116578,0.016608339,0.49906,0.0897,2.303320574760437,0.4756
36,0.09906,2.3027415952682495,0.015777921,0.49858,0.1,2.303426342010498,0.4998
37,0.0981,2.3027526941299437,0.014989025,0.50078,0.0979,2.303345727920532,0.4998
38,0.09854,2.3026792631149293,0.014239574,0.49754,0.0911,2.303366851806641,0.4981
39,0.09932,2.3026600742340086,0.013527595,0.50066,0.1,2.303490886688232,0.4914
40,0.10092,2.302743495941162,0.012851216,0.49808,0.0744,2.303364701271057,0.4847
41,0.10098,2.30264506816864,0.012208655,0.50134,0.0926,2.303435068130493,0.5008
42,0.0994,2.3027224836349487,0.011598222,0.49894,0.1001,2.3034165859222413,0.4697
43,0.09934,2.3026346464157106,0.011018311,0.4994,0.1002,2.303443684577942,0.4518
44,0.1002,2.3026469736099244,0.010467395,0.50152,0.0832,2.303472094535828,0.4632
45,0.10066,2.3026367082595827,0.009944025,0.50142,0.071,2.303450303077698,0.4626
46,0.10076,2.302635226249695,0.009446824,0.49872,0.0825,2.3034376811981203,0.4308
47,0.09996,2.3026311388015746,0.008974483,0.50114,0.0915,2.303479857444763,0.4856
48,0.10072,2.3026361627578735,0.008525759,0.49778,0.0914,2.3034980154037474,0.4814
49,0.0997,2.3026095991134645,0.008099471,0.49906,0.0791,2.3034736633300783,0.4562
50,0.1015,2.3026004343032835,0.0076944977,0.49964,0.0972,2.303521156311035,0.4727
51,0.10154,2.3025904741287233,0.0073097725,0.49968,0.0957,2.303552894592285,0.442
52,0.10128,2.3025955867767336,0.006944284,0.50068,0.0698,2.3035348510742186,0.4419
53,0.10042,2.302592017173767,0.00659707,0.50138,0.0782,2.3035540914535524,0.4425
54,0.10118,2.302570855140686,0.0062672165,0.50202,0.0999,2.3035858726501464,0.4423
55,0.10052,2.3025618410110473,0.0059538553,0.50166,0.0882,2.303576488494873,0.4656
56,0.10174,2.302551996231079,0.0056561627,0.50556,0.0635,2.303598279953003,0.4534
57,0.09986,2.302551784515381,0.0053733545,0.50206,0.0792,2.303619108200073,0.4688
58,0.10108,2.3025477628707884,0.005104687,0.50116,0.0716,2.303613877296448,0.4522
59,0.10126,2.3025563068389894,0.0048494525,0.5042,0.0788,2.3036305141448974,0.4949
60,0.10238,2.302527214050293,0.00460698,0.50344,0.072,2.3036275053024293,0.4458
61,0.10064,2.3025340614318845,0.0043766308,0.50516,0.077,2.3036536884307863,0.445
62,0.10118,2.3025366640090943,0.0041577993,0.50824,0.0728,2.303654417991638,0.4491
63,0.10328,2.3025115098953246,0.0039499095,0.5115,0.0587,2.303668150901794,0.4565
64,0.10128,2.3025144491195677,0.003752414,0.50626,0.0495,2.3036689710617066,0.4073
65,0.1004,2.3025051279067994,0.0035647932,0.5069,0.0923,2.303691258430481,0.4343
66,0.10476,2.302505764961243,0.0033865536,0.50386,0.0935,2.303710036277771,0.456
67,0.10234,2.3025039405822754,0.003217226,0.51072,0.085,2.3037278985977174,0.4674
68,0.10424,2.3024953784942626,0.0030563646,0.51528,0.0666,2.3037408638000487,0.4751
69,0.10536,2.3024955587387086,0.0029035464,0.50792,0.0596,2.3037269592285154,0.4697
70,0.10374,2.3024979763031004,0.002758369,0.51164,0.0562,2.3037394428253175,0.4615
71,0.10274,2.3024832181930543,0.0026204507,0.51626,0.064,2.303748159408569,0.4562
72,0.10472,2.3024794969558715,0.002489428,0.51346,0.0565,2.3037482643127443,0.4553
73,0.10384,2.3024816646575927,0.0023649568,0.515,0.0571,2.303764820098877,0.4694
74,0.10392,2.3024744834899904,0.0022467088,0.51578,0.0589,2.3037680101394655,0.4675
75,0.1083,2.302470205307007,0.0021343734,0.51758,0.0595,2.3037790060043335,0.4722
76,0.10614,2.302475581169128,0.0020276548,0.52108,0.0573,2.303785328865051,0.4636
77,0.10504,2.3024695177078245,0.001926272,0.5235,0.062,2.3037924098968507,0.4638
78,0.10494,2.3024646406173708,0.0018299584,0.52146,0.0623,2.3038031005859376,0.4644
79,0.11628,2.3024663581848146,0.0017384605,0.52026,0.0551,2.303804817199707,0.4516
80,0.11016,2.302460867881775,0.0016515375,0.5285,0.0572,2.3038134670257566,0.4703
81,0.11054,2.302463740348816,0.0015689606,0.52432,0.0569,2.303819556236267,0.4726
82,0.112,2.3024632596969603,0.0014905125,0.52714,0.0645,2.3038319540023804,0.4754
83,0.11208,2.302461813926697,0.0014159869,0.52044,0.0606,2.303835506439209,0.4739
84,0.10952,2.3024529075622557,0.0013451875,0.52848,0.061,2.30384060382843,0.4825
85,0.11528,2.3024485034942628,0.0012779282,0.53124,0.0667,2.303844356536865,0.4808
86,0.11158,2.302455799102783,0.0012140318,0.53382,0.0633,2.3038497829437254,0.4783
87,0.11596,2.3024434337615967,0.0011533302,0.54812,0.0586,2.303850655555725,0.4821
88,0.1132,2.3024488677978514,0.0010956636,0.53596,0.0586,2.3038537645339967,0.4711
89,0.11686,2.302441683769226,0.0010408805,0.54018,0.0595,2.3038612985610962,0.4828
90,0.12332,2.302445161819458,0.0009888365,0.52982,0.0576,2.3038604497909545,0.4727
91,0.1192,2.302443525314331,0.00093939464,0.54478,0.063,2.3038642597198487,0.4693
92,0.11166,2.3024443893432616,0.0008924249,0.54044,0.0596,2.3038699865341186,0.4744
93,0.1218,2.302438488006592,0.00084780366,0.5367,0.0604,2.3038713836669924,0.4764
94,0.1167,2.3024397621154784,0.00080541347,0.53618,0.0627,2.3038767051696776,0.4764
95,0.1191,2.3024348011016844,0.0007651428,0.55034,0.0643,2.303878974914551,0.475
96,0.1226,2.3024359073638916,0.0007268857,0.54332,0.0635,2.30388090133667,0.4784
97,0.11756,2.3024368324279787,0.0006905414,0.55482,0.0603,2.303879432678223,0.4644
98,0.12422,2.3024333848953247,0.0006560143,0.56138,0.0601,2.3038847255706787,0.4739
99,0.1262,2.3024329137802124,0.0006232136,0.54846,0.0638,2.3038877725601195,0.4737
