epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.23694,1.9595223183631898,0.1,0.79002,0.3474,1.7191662907600402,0.8733
1,0.37634,1.6663494324684143,0.095,0.8878,0.4803,1.419598491191864,0.9313
2,0.52906,1.3030533018112183,0.09025,0.93974,0.5609,1.1772826218605041,0.9539
3,0.61736,1.0794490897655487,0.0857375,0.95984,0.637,1.0242992544174194,0.9626
4,0.68088,0.9070305600166321,0.081450626,0.97342,0.6718,0.9394730234146118,0.966
5,0.72792,0.777409697175026,0.077378094,0.98086,0.7216,0.7999958002567291,0.9806
6,0.76982,0.6624324370622635,0.07350919,0.98654,0.7623,0.6993125599622726,0.9846
7,0.79912,0.5740666704177857,0.06983373,0.98948,0.7733,0.6653660619258881,0.9874
8,0.82814,0.49190380883216855,0.06634204,0.99228,0.7852,0.6572630846500397,0.987
9,0.85466,0.4142373659014702,0.06302494,0.99486,0.7727,0.6776230454444885,0.9856
10,0.87788,0.35194962549209596,0.059873693,0.996,0.8062,0.6246795111894607,0.989
11,0.8908,0.305187919318676,0.05688001,0.99756,0.7971,0.6950226044654846,0.989
12,0.91282,0.24904658749699593,0.05403601,0.99814,0.7892,0.7919153845310212,0.9883
13,0.92652,0.20773310443758963,0.05133421,0.9989,0.8,0.7062921279668808,0.9901
14,0.9404,0.1685494570583105,0.0487675,0.99944,0.807,0.7869376516342164,0.9881
15,0.95174,0.13598315842449665,0.046329122,0.9997,0.7969,0.8303645443916321,0.9907
16,0.96094,0.1109992039129138,0.044012666,0.99984,0.8036,0.8627190446853638,0.9892
17,0.96274,0.1061496416553855,0.041812032,0.99982,0.8086,0.8790632289648056,0.9893
18,0.97542,0.07292249874025583,0.039721433,0.99994,0.8022,0.9744512569904328,0.9868
19,0.98052,0.058213357634842394,0.03773536,0.99998,0.7973,1.115989968776703,0.988
20,0.98224,0.05350577901676297,0.03584859,0.99996,0.8149,1.0314486622810364,0.9893
21,0.98836,0.03472246168646961,0.034056164,0.99998,0.8092,1.1884831261634827,0.989
22,0.99192,0.025207058011554182,0.032353353,0.99998,0.8081,1.166645495891571,0.99
23,0.9925,0.023083595163188874,0.030735686,1.0,0.8177,1.2678463280200958,0.992
24,0.99356,0.01881111222319305,0.029198902,1.0,0.8101,1.2888839733600617,0.9878
25,0.9968,0.009806683407980018,0.027738957,1.0,0.8191,1.2730638933181764,0.99
26,0.99874,0.0038604431039711926,0.026352009,1.0,0.8152,1.3779016768932342,0.9889
27,0.99848,0.005140861459774896,0.025034409,1.0,0.8242,1.359972766637802,0.9911
28,0.99922,0.0027499677581654396,0.02378269,1.0,0.8239,1.3559971976280212,0.9908
29,0.99994,0.0006091289542309823,0.022593554,1.0,0.8261,1.3612821924686431,0.9925
30,1.0,0.00013068257208215071,0.021463877,1.0,0.8267,1.3758437597751618,0.9924
31,1.0,7.176006063855312e-05,0.020390682,1.0,0.8272,1.3882765638828278,0.9929
32,1.0,5.875007473150617e-05,0.019371148,1.0,0.8278,1.3980259227752685,0.993
33,1.0,5.0954730353623744e-05,0.018402591,1.0,0.8281,1.4061830425262452,0.9929
34,1.0,4.549381028300559e-05,0.017482461,1.0,0.8278,1.4129495859146117,0.9929
35,1.0,4.135037125524832e-05,0.016608339,1.0,0.8283,1.4190787649154664,0.9928
36,1.0,3.816007258683385e-05,0.015777921,1.0,0.8283,1.4242824041843414,0.9928
37,1.0,3.558319404874055e-05,0.014989025,1.0,0.8279,1.428890792131424,0.9929
38,1.0,3.344289008055057e-05,0.014239574,1.0,0.8283,1.4332130062580108,0.9929
39,1.0,3.166746234637685e-05,0.013527595,1.0,0.8281,1.4368986940383912,0.993
40,1.0,3.014883648211253e-05,0.012851216,1.0,0.8282,1.4401326191425323,0.993
41,1.0,2.8829381073592232e-05,0.012208655,1.0,0.8283,1.4432615184783935,0.993
42,1.0,2.769707635161467e-05,0.011598222,1.0,0.8283,1.4460970425605775,0.993
43,1.0,2.6689287247791072e-05,0.011018311,1.0,0.8285,1.4486932826042176,0.993
44,1.0,2.5808928925471264e-05,0.010467395,1.0,0.8287,1.451125557422638,0.993
45,1.0,2.5024757449500612e-05,0.009944025,1.0,0.8286,1.4532701754570008,0.9931
46,1.0,2.432572448196879e-05,0.009446824,1.0,0.8287,1.45532102227211,0.9931
47,1.0,2.3690001351496902e-05,0.008974483,1.0,0.8288,1.4571606862545012,0.9931
48,1.0,2.312349014209758e-05,0.008525759,1.0,0.8291,1.4588725280761718,0.9931
49,1.0,2.2609859353906357e-05,0.008099471,1.0,0.829,1.4604891562461852,0.9931
50,1.0,2.214188439575082e-05,0.0076944977,1.0,0.8291,1.4620042800903321,0.9931
51,1.0,2.171766516767093e-05,0.0073097725,1.0,0.8292,1.4633878886699676,0.9931
52,1.0,2.1324527237993608e-05,0.006944284,1.0,0.8293,1.4646897196769715,0.9931
53,1.0,2.0968121194073318e-05,0.00659707,1.0,0.8295,1.4658782756328583,0.9931
54,1.0,2.0637761923353537e-05,0.0062672165,1.0,0.8295,1.4670248901844025,0.9931
55,1.0,2.033843118806544e-05,0.0059538553,1.0,0.8295,1.468105720281601,0.9931
56,1.0,2.0056186021065514e-05,0.0056561627,1.0,0.8295,1.4690864527225493,0.9931
57,1.0,1.9798689886556532e-05,0.0053733545,1.0,0.8296,1.4700131154060363,0.9931
58,1.0,1.9560970808015553e-05,0.005104687,1.0,0.8296,1.4708927595615386,0.9931
59,1.0,1.9339420918186078e-05,0.0048494525,1.0,0.8295,1.471704375743866,0.9931
60,1.0,1.9131180472868438e-05,0.00460698,1.0,0.8295,1.472492331266403,0.9931
61,1.0,1.8939584091640427e-05,0.0043766308,1.0,0.8295,1.473202302455902,0.9931
62,1.0,1.8762549765597214e-05,0.0041577993,1.0,0.8296,1.4738730275630951,0.9931
63,1.0,1.859564209735254e-05,0.0039499095,1.0,0.8296,1.4745434200763703,0.9931
64,1.0,1.844075528333633e-05,0.003752414,1.0,0.8296,1.475134139060974,0.9931
65,1.0,1.8294240142495256e-05,0.0035647932,1.0,0.8295,1.4757027184963227,0.9931
66,1.0,1.8159205435040348e-05,0.0033865536,1.0,0.8295,1.4762305676937104,0.9931
67,1.0,1.8033005605502694e-05,0.003217226,1.0,0.8296,1.4767505097389222,0.9931
68,1.0,1.7913488412887092e-05,0.0030563646,1.0,0.8296,1.4772075045108795,0.9931
69,1.0,1.7801917590077208e-05,0.0029035464,1.0,0.8296,1.477682101726532,0.9931
70,1.0,1.769702200726897e-05,0.002758369,1.0,0.8296,1.4781021797657012,0.9931
71,1.0,1.759918216339429e-05,0.0026204507,1.0,0.8296,1.478514428138733,0.9931
72,1.0,1.750772170817072e-05,0.002489428,1.0,0.8296,1.478904721736908,0.9931
73,1.0,1.7421302459297294e-05,0.0023649568,1.0,0.8295,1.4792431926727294,0.9931
74,1.0,1.7339758510388493e-05,0.0022467088,1.0,0.8295,1.4795951569080352,0.9931
75,1.0,1.7263283699776366e-05,0.0021343734,1.0,0.8295,1.4799055457115173,0.9931
76,1.0,1.7191770791214365e-05,0.0020276548,1.0,0.8295,1.4802103209495545,0.9931
77,1.0,1.7124300480645615e-05,0.001926272,1.0,0.8296,1.480494955778122,0.9931
78,1.0,1.7059586270079308e-05,0.0018299584,1.0,0.8296,1.480760054588318,0.9931
79,1.0,1.7000945659674472e-05,0.0017384605,1.0,0.8296,1.4810193681716919,0.9931
80,1.0,1.6943915544288755e-05,0.0016515375,1.0,0.8296,1.48125066280365,0.9931
81,1.0,1.689092742435605e-05,0.0015689606,1.0,0.8296,1.4814811432361603,0.9931
82,1.0,1.684089200625749e-05,0.0014905125,1.0,0.8296,1.4816894233226776,0.9931
83,1.0,1.679389207947679e-05,0.0014159869,1.0,0.8296,1.4818933498859406,0.9931
84,1.0,1.6749835953305593e-05,0.0013451875,1.0,0.8296,1.482083146572113,0.9931
85,1.0,1.670861324691941e-05,0.0012779282,1.0,0.8296,1.4822673296928406,0.9931
86,1.0,1.6669368690600096e-05,0.0012140318,1.0,0.8296,1.4824291825294496,0.9931
87,1.0,1.6632744446724246e-05,0.0011533302,1.0,0.8296,1.4825890231132508,0.9931
88,1.0,1.6598478215200884e-05,0.0010956636,1.0,0.8296,1.4827380323410033,0.9931
89,1.0,1.6566107148264565e-05,0.0010408805,1.0,0.8296,1.4828753423690797,0.9931
90,1.0,1.653563248601131e-05,0.0009888365,1.0,0.8296,1.483013368844986,0.9931
