epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10098,2.311297562599182,0.1,0.50024,0.1,2.305531346797943,0.4995
1,0.0988,2.3048783860206603,0.095,0.49778,0.1,2.30341650724411,0.4994
2,0.10036,2.3046364369392394,0.09025,0.49908,0.1003,2.305240323543549,0.4996
3,0.10184,2.3047438015937805,0.0857375,0.50214,0.1,2.303734335899353,0.5001
4,0.10186,2.3038063521385195,0.081450626,0.50484,0.1009,2.305477268695831,0.4968
5,0.1019,2.3041516489982605,0.077378094,0.50256,0.1012,2.303505573272705,0.5018
6,0.10134,2.304088677883148,0.07350919,0.50424,0.1,2.30342355966568,0.5005
7,0.10116,2.3041362237930296,0.06983373,0.50334,0.0974,2.306678216457367,0.5
8,0.1024,2.303715000629425,0.06634204,0.50234,0.0986,2.3049814319610595,0.5011
9,0.10074,2.303977506160736,0.06302494,0.50082,0.0998,2.303364577293396,0.5001
10,0.10118,2.303791869163513,0.059873693,0.49698,0.1037,2.303182373046875,0.5025
11,0.10024,2.303453813076019,0.05688001,0.50116,0.0993,2.3038073492050173,0.5003
12,0.10334,2.302151928424835,0.05403601,0.50294,0.0999,2.3049419021606443,0.4995
13,0.10176,2.302518068313599,0.05133421,0.50432,0.0959,2.3224811601638793,0.5013
14,0.10404,2.3027130455970766,0.0487675,0.5004,0.1002,2.3033009576797485,0.4998
15,0.10294,2.302250301361084,0.046329122,0.5058,0.1,2.305203559398651,0.4999
16,0.10186,2.3024707508087157,0.044012666,0.50074,0.0995,2.3035442066192626,0.5007
17,0.10196,2.3023645377159117,0.041812032,0.50028,0.099,2.303761463165283,0.5002
18,0.10208,2.3025722570419314,0.039721433,0.50292,0.1009,2.3038044118881227,0.4985
19,0.1035,2.301117991924286,0.03773536,0.5019,0.0987,2.3036534190177917,0.5002
20,0.10484,2.301751428604126,0.03584859,0.50678,0.0998,2.3032766699790956,0.4993
21,0.10488,2.3002225689888,0.034056164,0.5063,0.0982,2.3049414563179016,0.5017
22,0.11382,2.2932535767555238,0.032353353,0.52464,0.1007,2.309389634132385,0.499
23,0.11688,2.288786465167999,0.030735686,0.53122,0.0962,2.3109719562530517,0.4938
24,0.12316,2.2832190217971804,0.029198902,0.55012,0.0986,2.31051433801651,0.4994
25,0.13094,2.273270003795624,0.027738957,0.55854,0.098,2.3239857959747314,0.4998
26,0.1303,2.2707836441993714,0.026352009,0.55146,0.1001,2.3440769505500794,0.4978
27,0.13588,2.259830256938934,0.025034409,0.56644,0.1019,2.317215521335602,0.4993
28,0.14582,2.2453699955940247,0.02378269,0.5895,0.1006,2.3484971356391906,0.495
29,0.1514,2.2383432817459106,0.022593554,0.58996,0.0998,2.3298446464538576,0.4947
30,0.1505,2.2291175146102904,0.021463877,0.59386,0.1017,2.387163686752319,0.5004
31,0.15542,2.2183791966438293,0.020390682,0.6028,0.1005,2.335094003677368,0.506
32,0.1637,2.2134656562805177,0.019371148,0.61454,0.099,2.3894112849235536,0.4963
33,0.17264,2.187029001235962,0.018402591,0.63108,0.0993,2.449085750579834,0.5032
34,0.18752,2.1597754011154175,0.017482461,0.6492,0.1009,2.4780268478393555,0.4989
35,0.19744,2.1393748044967653,0.016608339,0.66308,0.1013,2.4480446720123292,0.5032
36,0.2005,2.124054195165634,0.015777921,0.67286,0.1028,2.605905683040619,0.5023
37,0.21144,2.1062888667583466,0.014989025,0.6808,0.1048,2.5260007643699645,0.5025
38,0.22022,2.0848768084049225,0.014239574,0.69288,0.1029,2.498153102397919,0.5012
39,0.22756,2.0676298553943635,0.013527595,0.70258,0.0973,2.596880555152893,0.4983
40,0.23348,2.050964592695236,0.012851216,0.70724,0.1012,2.621387619972229,0.5032
41,0.2391,2.0350247716903684,0.012208655,0.71682,0.1037,2.5915598320960997,0.498
42,0.24716,2.0171409986019135,0.011598222,0.72332,0.1016,2.747566499710083,0.5008
43,0.2538,1.9988200886249543,0.011018311,0.73128,0.1063,2.65204803943634,0.5011
44,0.25874,1.982412885427475,0.010467395,0.73942,0.1034,2.673436121940613,0.5039
45,0.26076,1.9716807608604432,0.009944025,0.7424,0.1054,2.7254956221580504,0.4999
46,0.26708,1.95784219789505,0.009446824,0.74588,0.1044,2.723719220161438,0.5046
47,0.27142,1.9427761206626892,0.008974483,0.75268,0.0997,2.852911036014557,0.5029
48,0.27594,1.9354213628768921,0.008525759,0.75394,0.1031,2.8268141746520996,0.5048
49,0.27728,1.9234621381759645,0.008099471,0.75994,0.1003,2.9080265498161317,0.4994
