epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.1012,2.3044172649383543,0.1,0.50338,0.1,2.306177723407745,0.5
1,0.09984,2.305153926849365,0.095,0.50028,0.1,2.3049395275115967,0.5
2,0.0977,2.304699465274811,0.09025,0.50048,0.1,2.3037376856803893,0.5
3,0.09988,2.3045449991226197,0.0857375,0.5016,0.0999,2.3051104164123535,0.5
4,0.09832,2.304472412109375,0.081450626,0.5021,0.1,2.3042289185523988,0.5
5,0.09788,2.304351581096649,0.077378094,0.4997,0.1,2.3043669962882998,0.5
6,0.09908,2.304163783073425,0.07350919,0.4985,0.0984,2.303778862953186,0.5
7,0.09786,2.304360147476196,0.06983373,0.49694,0.1,2.303655939102173,0.5
8,0.09766,2.304274367809296,0.06634204,0.50194,0.1,2.3048241209983824,0.5
9,0.09968,2.3040479254722595,0.06302494,0.49806,0.1,2.303760414123535,0.5
10,0.09846,2.3039744248390197,0.059873693,0.49848,0.1,2.3033621430397035,0.5
11,0.10042,2.303814709663391,0.05688001,0.49988,0.1,2.3034954047203064,0.5
12,0.1003,2.303849138736725,0.05403601,0.49768,0.1,2.303247492313385,0.5
13,0.10068,2.3036654624938966,0.05133421,0.50372,0.1,2.304576392173767,0.5
14,0.09964,2.303592576980591,0.0487675,0.49816,0.1,2.303353497982025,0.5
15,0.10146,2.3036784658432006,0.046329122,0.5001,0.0981,2.303349328041077,0.5
16,0.1016,2.3035100164413453,0.044012666,0.5011,0.1,2.3041168880462646,0.5
17,0.09818,2.3037337918281553,0.041812032,0.4967,0.1016,2.3029605960845947,0.5
18,0.1,2.3035097489356993,0.039721433,0.50048,0.1,2.3030433011054994,0.5
19,0.0985,2.3034754695892334,0.03773536,0.498,0.1,2.3031241869926453,0.4999
20,0.10156,2.3031444220542907,0.03584859,0.4988,0.1,2.3040202021598817,0.5
21,0.09848,2.3035680522918702,0.034056164,0.49514,0.1,2.302810456752777,0.5
22,0.1004,2.3032729115486146,0.032353353,0.50026,0.1,2.3030915427207947,0.5005
23,0.09962,2.3033263964653017,0.030735686,0.49972,0.1,2.3029043769836424,0.5
24,0.09856,2.3032540078163146,0.029198902,0.49962,0.1,2.302746114730835,0.5012
25,0.10016,2.3030252838134766,0.027738957,0.49966,0.1,2.3029888677597046,0.4961
26,0.10024,2.3029711012840273,0.026352009,0.50084,0.1,2.3030320239067077,0.5
27,0.10128,2.303048909187317,0.025034409,0.50026,0.1,2.3031079244613646,0.5
28,0.10076,2.302943907737732,0.02378269,0.50254,0.1,2.303107497692108,0.5
29,0.10152,2.3030296263694763,0.022593554,0.49804,0.1,2.3034582805633543,0.5001
30,0.09968,2.3031636996269227,0.021463877,0.49978,0.1,2.302853500843048,0.5
31,0.1031,2.3028493509292605,0.020390682,0.50338,0.1,2.3031467533111574,0.5
32,0.10184,2.3027836966514585,0.019371148,0.50284,0.1007,2.302984471321106,0.5
33,0.10134,2.3028115401268003,0.018402591,0.5037,0.1,2.302766318321228,0.5
34,0.10058,2.3027177238464356,0.017482461,0.50154,0.1044,2.3030735445022583,0.5
35,0.10112,2.302693299293518,0.016608339,0.5047,0.1015,2.3031004881858825,0.5
36,0.10028,2.302620817184448,0.015777921,0.50312,0.1022,2.302876205444336,0.5
37,0.10196,2.3026379981040956,0.014989025,0.50566,0.1,2.302863621711731,0.5
38,0.1005,2.302641273021698,0.014239574,0.50336,0.0999,2.302837941646576,0.5
39,0.10192,2.3025995497703553,0.013527595,0.50462,0.1,2.302786657810211,0.4991
40,0.10418,2.302519299507141,0.012851216,0.50768,0.1013,2.3029470324516295,0.5008
41,0.10312,2.3024571118354795,0.012208655,0.50594,0.1,2.303013162612915,0.5
42,0.10352,2.3024891872406004,0.011598222,0.50464,0.1,2.3026788449287414,0.5016
43,0.10262,2.3023514308929443,0.011018311,0.51194,0.1,2.3028153705596925,0.4996
44,0.10428,2.3023986134529113,0.010467395,0.50656,0.1013,2.3027653169631956,0.5
45,0.10404,2.3022328057289125,0.009944025,0.51026,0.1024,2.302795295715332,0.5001
46,0.10304,2.3023223404884336,0.009446824,0.50882,0.0997,2.3026414847373964,0.5028
47,0.10294,2.3021866664886477,0.008974483,0.51158,0.1,2.3027099561691284,0.5023
48,0.10248,2.3021133785247803,0.008525759,0.51252,0.0998,2.3028508973121644,0.5018
49,0.10474,2.3021641879081725,0.008099471,0.50928,0.0986,2.3027533388137815,0.5024
