epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09936,2.356795949935913,0.1,0.49912,0.1,2.333611845970154,0.5008
1,0.10838,2.305894424915314,0.095,0.52018,0.1015,2.3177554458379745,0.5006
2,0.11986,2.298326705098152,0.09025,0.54288,0.1,2.360873907804489,0.5072
3,0.13036,2.289406877160072,0.0857375,0.56082,0.1007,2.331491968035698,0.4993
4,0.15162,2.2681202507019043,0.081450626,0.59922,0.1,2.581466203927994,0.5018
5,0.17406,2.2323265326023103,0.077378094,0.63878,0.1051,2.4459568351507186,0.5021
6,0.20904,2.174960243999958,0.07350919,0.6842,0.1017,2.9926174342632295,0.5036
7,0.24788,2.088964292109013,0.06983373,0.73492,0.1,6.662504017353058,0.4997
8,0.29958,1.9707841101288794,0.06634204,0.78672,0.0991,4.029765602946282,0.5019
9,0.36432,1.8118063750863076,0.06302494,0.8381,0.0982,5.53409840464592,0.5036
10,0.43896,1.6128886935114861,0.059873693,0.88546,0.0967,3.5822925001382826,0.508
11,0.5207,1.388871541172266,0.05688001,0.924,0.1008,6.075904846191406,0.5032
12,0.6051,1.150684226155281,0.05403601,0.95384,0.1067,3.7694085121154783,0.5057
13,0.68822,0.9001651404052973,0.05133421,0.9744,0.0997,9.988793683052062,0.5035
14,0.76048,0.6922105145454407,0.0487675,0.98658,0.1005,8.894004517793656,0.5028
15,0.83108,0.49235264662653205,0.046329122,0.99458,0.0999,12.588982677459716,0.5048
16,0.87724,0.3539626317098737,0.044012666,0.99768,0.0987,7.897843772172928,0.5007
17,0.91882,0.23618887439370156,0.041812032,0.99908,0.1008,12.456988406181335,0.5016
18,0.94752,0.15237266512587666,0.039721433,0.9997,0.1025,9.147374624013901,0.4993
19,0.9704,0.0908300489326939,0.03773536,0.9999,0.0963,8.64221156835556,0.5027
20,0.9874,0.04267316055251286,0.03584859,1.0,0.0987,8.494933229684829,0.4947
21,0.99754,0.012786789529491216,0.034056164,1.0,0.0976,8.066478669643402,0.4995
22,0.99996,0.002839366445550695,0.032353353,1.0,0.0973,7.955899041891098,0.498
23,1.0,0.0012801133102038876,0.030735686,1.0,0.0972,7.889659029245377,0.4969
24,1.0,0.0009004588414973113,0.029198902,1.0,0.0979,7.932117658853531,0.4957
25,1.0,0.0007304592436412349,0.027738957,1.0,0.0986,7.953917467594147,0.494
26,1.0,0.0006252178895374528,0.026352009,1.0,0.0982,7.986542516946793,0.4949
27,1.0,0.0005629459581541596,0.025034409,1.0,0.0982,8.008791452646255,0.4948
28,1.0,0.0005172973476146581,0.02378269,1.0,0.0976,8.028280997276307,0.4946
29,1.0,0.00046053072470385813,0.022593554,1.0,0.098,8.049466186761856,0.4942
30,1.0,0.0004459837220565532,0.021463877,1.0,0.0986,8.06392610669136,0.496
31,1.0,0.0004133587448814069,0.020390682,1.0,0.0989,8.078579598665238,0.4961
32,1.0,0.00038830026489449664,0.019371148,1.0,0.0989,8.08811554312706,0.4963
33,1.0,0.0003790244494302897,0.018402591,1.0,0.0986,8.10525884628296,0.4957
34,1.0,0.0003453074806384393,0.017482461,1.0,0.0984,8.116283595561981,0.4959
35,1.0,0.0003392427071230486,0.016608339,1.0,0.0989,8.129358440637589,0.4962
36,1.0,0.0003369461300098919,0.015777921,1.0,0.0986,8.137940603494645,0.4956
37,1.0,0.0003182708214444574,0.014989025,1.0,0.0987,8.14032216668129,0.4957
38,1.0,0.0003092012044726289,0.014239574,1.0,0.0983,8.157233488559722,0.4959
39,1.0,0.0002996618968609255,0.013527595,1.0,0.0988,8.159660398960114,0.4965
40,1.0,0.0002976738992947503,0.012851216,1.0,0.0985,8.169883030653,0.4965
41,1.0,0.0002866982084015035,0.012208655,1.0,0.0984,8.173064315319062,0.497
42,1.0,0.00028684700449957743,0.011598222,1.0,0.0986,8.179463303089141,0.4962
43,1.0,0.0002764150514121866,0.011018311,1.0,0.099,8.187763977050782,0.4958
44,1.0,0.0002714053874296951,0.010467395,1.0,0.0984,8.191695195436477,0.497
45,1.0,0.00026685085278586483,0.009944025,1.0,0.0983,8.200126367807389,0.4964
