epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.1011,2.335837324857712,0.1,0.50168,0.0974,2.3263939291238787,0.4906
1,0.10066,2.305756065249443,0.095,0.50174,0.0962,2.3060972720384596,0.4895
2,0.10326,2.3038589829206466,0.09025,0.50606,0.0969,2.3043286919593813,0.5035
3,0.10364,2.3032281935214995,0.0857375,0.51168,0.0985,2.304427671432495,0.4963
4,0.10748,2.3028261536359786,0.081450626,0.51306,0.0943,2.3055562674999237,0.5002
5,0.11082,2.301647533774376,0.077378094,0.5197,0.0984,2.3075067311525346,0.4996
6,0.11294,2.3002471601963044,0.07350919,0.52812,0.0993,2.3075321078300477,0.5012
7,0.11456,2.299625116586685,0.06983373,0.53348,0.099,2.30788397192955,0.5032
8,0.11618,2.2973132383823396,0.06634204,0.54368,0.1007,2.3083703488111498,0.5093
9,0.12112,2.294108235836029,0.06302494,0.55004,0.0966,2.328935852646828,0.4986
10,0.12828,2.2904782098531724,0.059873693,0.55942,0.1008,2.320715773105621,0.5004
11,0.13104,2.2854288494586945,0.05688001,0.57354,0.102,2.3431608349084856,0.5026
12,0.13702,2.277585716843605,0.05403601,0.5873,0.1036,2.3477727979421616,0.503
13,0.1446,2.2672449165582655,0.05133421,0.5987,0.0969,2.404845044016838,0.5054
14,0.16106,2.2516721045970916,0.0487675,0.62198,0.0985,2.3774104714393616,0.4946
15,0.17356,2.23219080388546,0.046329122,0.64002,0.1008,2.4242039889097216,0.4994
16,0.18824,2.2049851220846177,0.044012666,0.66128,0.0979,2.46836394071579,0.504
17,0.20946,2.166694651544094,0.041812032,0.68998,0.0998,2.543568122386932,0.4924
18,0.23148,2.1152720537781717,0.039721433,0.72038,0.1041,2.5807780265808105,0.4985
19,0.26078,2.0460012540221215,0.03773536,0.75314,0.0948,2.848475432395935,0.4993
20,0.2997,1.9582884538173675,0.03584859,0.78562,0.0984,3.0144781172275543,0.5036
21,0.34294,1.8458709624409675,0.034056164,0.82064,0.0969,3.4122110188007353,0.4947
22,0.39154,1.7219329130649568,0.032353353,0.85396,0.0993,3.6027312964200973,0.5013
23,0.44846,1.5682404270768167,0.030735686,0.8849,0.0962,3.3893593460321427,0.4973
24,0.50628,1.4075250187516213,0.029198902,0.90904,0.0986,4.155979251861572,0.4972
25,0.56958,1.2402681379020215,0.027738957,0.93226,0.0972,4.442521420121193,0.4946
26,0.62978,1.0711991024017333,0.026352009,0.95134,0.1043,6.8948085606098175,0.499
27,0.6888,0.905376963019371,0.025034409,0.96526,0.0985,5.1421470701694485,0.5013
28,0.74414,0.747611913010478,0.02378269,0.97774,0.0997,7.75603546500206,0.4999
29,0.7956,0.5994649241119623,0.022593554,0.9855,0.0953,7.196827000379562,0.5031
30,0.8467,0.4588159027695656,0.021463877,0.9917,0.0924,6.426308143138885,0.4905
31,0.87792,0.3702241210639477,0.020390682,0.99436,0.0939,7.854304134845734,0.4997
32,0.90994,0.28019231889396906,0.019371148,0.99714,0.1006,8.285374283790588,0.5068
33,0.94678,0.17569179058074952,0.018402591,0.9989,0.0949,7.529020011425018,0.496
34,0.97778,0.089299959493801,0.017482461,0.9998,0.0947,7.601151800155639,0.4926
35,0.99384,0.039249199244659395,0.016608339,0.99988,0.0913,7.444835543632507,0.4941
36,0.9989,0.016059750778367743,0.015777921,0.99996,0.0908,7.23927412033081,0.496
37,0.9997,0.007569019746151753,0.014989025,0.99998,0.092,7.231313073635102,0.4966
38,0.99986,0.004950165698246565,0.014239574,0.99998,0.0926,7.387740212678909,0.4949
39,0.99992,0.003979122236196417,0.013527595,0.99998,0.0914,7.238685739040375,0.4961
40,0.99996,0.003294503149809316,0.012851216,1.0,0.0929,7.32952094078064,0.4949
41,0.99994,0.0027442915784195066,0.012208655,0.99998,0.0924,7.38949813246727,0.4928
42,0.99992,0.0025382944708690048,0.011598222,0.99998,0.0921,7.4450717747211455,0.4951
43,0.99994,0.002343994695402216,0.011018311,0.99998,0.0923,7.4043001413345335,0.4965
44,0.99998,0.002069893024163321,0.010467395,0.99998,0.093,7.432021725177765,0.4967
45,0.99998,0.001961588611011393,0.009944025,0.99998,0.0912,7.462511217594146,0.4954
46,0.99998,0.0019010129972593858,0.009446824,0.99998,0.0928,7.466697698831558,0.4946
47,0.99998,0.0017821654201543424,0.008974483,0.99998,0.0918,7.494544553756714,0.4953
48,0.99998,0.00173613391481922,0.008525759,0.99998,0.0925,7.50249690413475,0.4949
49,0.99998,0.0016702578666445333,0.008099471,0.99998,0.094,7.519162201881409,0.4951
50,0.99998,0.001646687144821044,0.0076944977,0.99998,0.0937,7.536469763517379,0.4961
51,0.99998,0.001584342454734724,0.0073097725,0.99998,0.093,7.553803622722626,0.4961
52,0.99998,0.001549399289797293,0.006944284,0.99998,0.0927,7.571269392967224,0.4946
53,0.99998,0.0014991697807272431,0.00659707,0.99998,0.0929,7.568118125200272,0.496
54,0.99998,0.0015042708984401543,0.0062672165,1.0,0.0939,7.5802641928195955,0.4961
55,0.99998,0.0014776067118509673,0.0059538553,0.99998,0.0929,7.5862257242202755,0.4957
56,0.99998,0.0014493565192242386,0.0056561627,0.99998,0.0926,7.59640434384346,0.4955
57,0.99998,0.0014330514438915998,0.0053733545,0.99998,0.093,7.613300186395645,0.4959
58,0.99998,0.0013698534083960113,0.005104687,0.99998,0.0928,7.620050603151322,0.4952
59,0.99998,0.0013787832725211046,0.0048494525,0.99998,0.0922,7.623785418272019,0.4962
60,0.99998,0.0013794316102575977,0.00460698,0.99998,0.0929,7.6369037389755245,0.4958
