epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.54146,1.2742014987766743,0.1,0.93552,0.5128,1.53422991335392,0.9285
1,0.72694,0.778027341812849,0.095,0.98092,0.6649,0.976443849503994,0.9745
2,0.79392,0.5879013778269291,0.09025,0.9898,0.6933,0.99107069298625,0.9779
3,0.83878,0.4662209375947714,0.0857375,0.9933,0.7677,0.7017959166318178,0.9875
4,0.8688,0.37709320683032277,0.081450626,0.99598,0.6955,1.0111062452197075,0.9552
5,0.89482,0.30300733700394633,0.077378094,0.99774,0.7572,0.8067727617919445,0.9878
6,0.92022,0.23232619144022465,0.07350919,0.99888,0.7153,1.1196758024394513,0.9704
7,0.93988,0.17418312731198968,0.06983373,0.99934,0.7823,0.8126302573829889,0.9818
8,0.9552,0.13110117913223804,0.06634204,0.99964,0.7858,0.7601412788033486,0.9872
9,0.97272,0.08349548852071166,0.06302494,0.9999,0.7675,1.0507416740059852,0.9849
10,0.98432,0.05187126741278916,0.059873693,0.99996,0.8053,0.7700630143284798,0.9922
11,0.99448,0.02465919641777873,0.05688001,1.0,0.8284,0.7130918815732002,0.9849
12,0.9979,0.012207073611207306,0.05403601,1.0,0.838,0.7001796167343854,0.9937
13,0.99946,0.006120031149766874,0.05133421,1.0,0.8596,0.6086743146181106,0.9951
14,0.99996,0.002738614929112373,0.0487675,1.0,0.8639,0.6047684505581856,0.9952
15,1.0,0.001628098236542428,0.046329122,1.0,0.8653,0.5982553038746119,0.9952
16,0.99994,0.001345351935378858,0.044012666,1.0,0.8656,0.6106225572526455,0.9949
17,1.0,0.001055479901478975,0.041812032,1.0,0.8654,0.6175527848303318,0.9943
18,1.0,0.0009417950639908668,0.039721433,1.0,0.8677,0.6111903209239244,0.9948
19,1.0,0.000785975320613943,0.03773536,1.0,0.8676,0.6147627498954534,0.9946
20,1.0,0.0007591114228853257,0.03584859,1.0,0.8669,0.6225566497072578,0.9948
21,1.0,0.0006889491343099508,0.034056164,1.0,0.8666,0.6219855945557355,0.9948
22,1.0,0.0006213596385714481,0.032353353,1.0,0.8667,0.6253743719309568,0.9947
23,1.0,0.0005835629005014198,0.030735686,1.0,0.8664,0.629521518573165,0.9946
24,1.0,0.0005576031088639866,0.029198902,1.0,0.8663,0.6323872342705726,0.9949
25,1.0,0.0005244365780890803,0.027738957,1.0,0.8672,0.6341456159949302,0.9946
26,1.0,0.0005089920173486462,0.026352009,1.0,0.867,0.63671761341393,0.9946
27,1.0,0.00048801658169395524,0.025034409,1.0,0.8675,0.6397263526916503,0.9945
28,1.0,0.0004483495825115824,0.02378269,1.0,0.8677,0.6395694300532341,0.9943
29,1.0,0.00045313720209378517,0.022593554,1.0,0.8672,0.6417976884171367,0.9946
30,1.0,0.0004923502920428291,0.021463877,1.0,0.8639,0.650141068175435,0.9949
31,1.0,0.0004513531512202462,0.020390682,1.0,0.8669,0.6441250171512365,0.9943
