epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10058,2.3416075048446654,0.1,0.50292,0.1129,2.308212175369263,0.5085
1,0.10226,2.308530578613281,0.095,0.5024,0.0578,2.3081663131713865,0.4972
2,0.10584,2.3046941881179808,0.09025,0.50952,0.1011,2.3178896522521972,0.4744
3,0.10622,2.303066222190857,0.0857375,0.51226,0.099,2.3028719425201416,0.5391
4,0.10966,2.301685387611389,0.081450626,0.5211,0.121,2.3056103372573853,0.4822
5,0.1114,2.3002364826202393,0.077378094,0.53106,0.0989,2.3053923273086547,0.5153
6,0.11678,2.2983177909851076,0.07350919,0.53724,0.1102,2.306165614128113,0.5025
7,0.11982,2.2960315294265747,0.06983373,0.54252,0.1152,2.3204301691055296,0.4764
8,0.12648,2.2918677825927736,0.06634204,0.5579,0.0914,2.3180112648010254,0.4955
9,0.1301,2.2876729469299315,0.06302494,0.56566,0.0935,2.339646563529968,0.4858
10,0.1365,2.2808262882232664,0.059873693,0.58234,0.0854,2.3624113988876343,0.4743
11,0.14468,2.2720880641937256,0.05688001,0.59492,0.1104,2.3784492111206053,0.4942
12,0.15536,2.2593689098358154,0.05403601,0.61064,0.1098,2.402231426239014,0.4635
13,0.17056,2.2410218172073364,0.05133421,0.6317,0.0973,2.458897442817688,0.5095
14,0.1856,2.2132132692337034,0.0487675,0.65652,0.0843,2.51040256023407,0.4779
15,0.20618,2.177716558456421,0.046329122,0.68186,0.1034,2.662555809020996,0.4968
16,0.23016,2.125273889541626,0.044012666,0.71204,0.1055,2.6591097497940064,0.5069
17,0.26288,2.054729550361633,0.041812032,0.74618,0.099,3.08612783908844,0.4906
18,0.30222,1.9671932020187377,0.039721433,0.78222,0.1009,3.0513554334640505,0.4821
19,0.34774,1.8528658890724181,0.03773536,0.81746,0.095,3.265290241241455,0.4957
20,0.39604,1.7209139976501464,0.03584859,0.8519,0.1035,3.0962112760543823,0.4991
21,0.45064,1.5780535583496094,0.034056164,0.88176,0.1006,4.155194911956787,0.4962
22,0.514,1.4029304356575012,0.032353353,0.91144,0.0854,4.112742457389832,0.4991
23,0.57982,1.223931125164032,0.030735686,0.93428,0.0993,5.554028205871582,0.4999
24,0.63634,1.056241284608841,0.029198902,0.95278,0.0983,7.2794442462921145,0.488
25,0.6984,0.8839671347141266,0.027738957,0.9682,0.1056,6.320660858154297,0.5
26,0.75554,0.7158303887844085,0.026352009,0.98058,0.1019,7.339486198425293,0.5043
27,0.80676,0.5695834118127823,0.025034409,0.98834,0.0983,5.446766901016235,0.4943
28,0.85466,0.43834842920303346,0.02378269,0.99336,0.0981,7.829696054458618,0.4883
29,0.89792,0.3166865533590317,0.022593554,0.9968,0.0987,6.7287157440185545,0.4913
30,0.93574,0.21228249010443687,0.021463877,0.99866,0.1003,7.09665002822876,0.4925
31,0.97048,0.11475381244719028,0.020390682,0.99958,0.0964,7.886364555358886,0.499
32,0.9933,0.043898049145936965,0.019371148,0.99978,0.1002,7.534473857879639,0.4967
33,0.999,0.016221355091780423,0.018402591,0.99992,0.0963,6.770253534317017,0.4962
34,0.99974,0.007146817809902131,0.017482461,1.0,0.0983,6.709169263839722,0.4964
35,0.9999,0.004437749440781772,0.016608339,1.0,0.0955,6.695896635055542,0.4956
36,0.99996,0.0034130683531984687,0.015777921,0.99998,0.0972,6.759442338943481,0.4966
37,0.99998,0.0028389179944060742,0.014989025,0.99998,0.0986,6.800634098052979,0.4968
38,0.99998,0.0025772998882457616,0.014239574,0.99998,0.0958,6.853146152496338,0.4974
39,0.99998,0.0023472672495990993,0.013527595,1.0,0.0975,6.864868535995483,0.497
