epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10032,2.3395541763305663,0.1,0.50168,0.092,2.3104855537414553,0.4898
1,0.10136,2.306699007987976,0.095,0.50248,0.0646,2.312931680679321,0.4678
2,0.10202,2.304044231414795,0.09025,0.5067,0.0757,2.3012832593917847,0.5033
3,0.10334,2.3027104816436768,0.0857375,0.51234,0.0869,2.3166600608825685,0.5034
4,0.1093,2.3015024251937866,0.081450626,0.5196,0.07,2.3194672060012818,0.4859
5,0.1094,2.3007401494979858,0.077378094,0.52724,0.1,2.31270076751709,0.445
6,0.1131,2.2988960762023924,0.07350919,0.53742,0.0996,2.327807388305664,0.4615
7,0.11778,2.297169523239136,0.06983373,0.54144,0.0973,2.3156591796875,0.4824
8,0.12168,2.295017548561096,0.06634204,0.5475,0.1077,2.32590633392334,0.4764
9,0.1227,2.292180208206177,0.06302494,0.55632,0.0863,2.319711651802063,0.494
10,0.1329,2.2866920070648193,0.059873693,0.57256,0.1123,2.3193398618698122,0.5097
11,0.13886,2.2790988502502443,0.05688001,0.58516,0.087,2.3706017112731934,0.4708
12,0.14788,2.2706973791122436,0.05403601,0.59508,0.0998,2.3515615272521972,0.5068
13,0.15436,2.2579429502487183,0.05133421,0.61258,0.1088,2.3588611555099486,0.5106
14,0.1701,2.2403018627166746,0.0487675,0.63176,0.1112,2.4239455699920653,0.5023
15,0.18488,2.215720307350159,0.046329122,0.65414,0.1017,2.442590355873108,0.4993
16,0.2015,2.180894283294678,0.044012666,0.67682,0.099,2.538134145736694,0.5039
17,0.22552,2.1349893774986266,0.041812032,0.70912,0.084,3.0554797792434694,0.4919
18,0.25684,2.070257167816162,0.039721433,0.7411,0.1329,2.614173231124878,0.5267
19,0.29262,1.9855710496902466,0.03773536,0.77282,0.1155,3.5046739292144777,0.5111
20,0.334,1.885857192516327,0.03584859,0.80686,0.1042,3.488341798782349,0.525
21,0.3828,1.7613686199188232,0.034056164,0.83944,0.1033,3.8667912817001344,0.5164
22,0.43172,1.6255345153808594,0.032353353,0.87072,0.0995,5.2890942192077635,0.4967
23,0.48532,1.4732132430076599,0.030735686,0.8967,0.1073,4.149475154876709,0.5029
24,0.5448,1.308268042564392,0.029198902,0.9234,0.1062,5.5524205493927,0.4861
25,0.60924,1.1365767860412597,0.027738957,0.9433,0.0967,6.527464199066162,0.5037
26,0.66322,0.9801966814994812,0.026352009,0.95832,0.1044,6.126840133666992,0.4902
27,0.72046,0.822406405210495,0.025034409,0.9701,0.0989,6.148563661575317,0.4865
28,0.7765,0.6658028395175933,0.02378269,0.98128,0.097,7.019745168685913,0.4978
29,0.82348,0.5283170704841613,0.022593554,0.98792,0.0956,7.965076560974121,0.4912
30,0.87114,0.3940760981440544,0.021463877,0.99304,0.0977,7.564559555053711,0.4974
31,0.91318,0.2782991807460785,0.020390682,0.99618,0.1026,8.100357608795166,0.5007
32,0.94452,0.1874134511947632,0.019371148,0.99838,0.0924,8.067259950637817,0.4804
33,0.97386,0.10535489116609097,0.018402591,0.99934,0.1022,7.906999015808106,0.5017
34,0.99088,0.051255439005792144,0.017482461,0.99978,0.0981,6.852470645904541,0.4926
35,0.99884,0.017666295679286122,0.016608339,0.99994,0.1013,6.6041782855987545,0.5002
36,0.99988,0.008220608823001385,0.015777921,0.99996,0.0989,6.799966068267822,0.5013
37,0.99986,0.005486949313431978,0.014989025,0.99998,0.0963,6.733561210632324,0.502
38,0.99994,0.003967467077076435,0.014239574,0.99998,0.0975,6.842125177383423,0.5
39,0.99998,0.0034149529170244934,0.013527595,0.99998,0.0979,6.886290845870971,0.4991
