epoch,acc,loss,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.4516,1.5233949249267578,0.90586,0.4265,1.5332449531555177,0.9066
1,0.5072,1.3871204409790039,0.93132,0.4982,1.379375892829895,0.9353
2,0.52002,1.34971463142395,0.9363,0.5133,1.3473887586593627,0.9391
3,0.53166,1.3254072669219972,0.93852,0.5183,1.3314404508590698,0.9416
4,0.53782,1.3082873098373413,0.94116,0.5258,1.315960994720459,0.9429
5,0.54224,1.2958673509979248,0.94258,0.5329,1.3041337430953979,0.9464
6,0.54636,1.2839740508651734,0.94362,0.5326,1.2973941993713378,0.9471
7,0.54852,1.2770052208709717,0.94442,0.5383,1.2899159227371215,0.9481
8,0.55158,1.2687286365127564,0.94628,0.5415,1.2823189212799073,0.9495
9,0.55474,1.2620021939849853,0.94686,0.5417,1.2775291301727294,0.9491
10,0.55608,1.2563200220870971,0.9463,0.544,1.2725851249694824,0.9501
11,0.55852,1.2518936544036865,0.94754,0.5451,1.267846116065979,0.9509
12,0.56082,1.2477950207138062,0.94766,0.5484,1.2639762559890748,0.951
13,0.56322,1.2425744176483153,0.94914,0.5466,1.260651856994629,0.9527
14,0.56318,1.239960919265747,0.94866,0.5493,1.2570359046936035,0.953
15,0.56524,1.2347846059417724,0.95076,0.5509,1.2537484506607055,0.9528
16,0.56554,1.2317705786895752,0.94976,0.5524,1.2505767459869386,0.9526
17,0.56832,1.2298619289398194,0.94986,0.5521,1.2487973169326783,0.9529
18,0.56714,1.2260459143447875,0.95036,0.5542,1.246090609550476,0.9533
19,0.56814,1.222794186630249,0.95072,0.5557,1.2437348552703857,0.9532
20,0.57252,1.2198241074371339,0.95056,0.5576,1.240998853111267,0.9536
21,0.57162,1.2182619853973389,0.95072,0.5584,1.2386713151931763,0.9535
22,0.57198,1.2172301403045653,0.95026,0.5579,1.2373255094528197,0.9527
23,0.57172,1.214961713409424,0.95164,0.561,1.235064013671875,0.9533
24,0.5739,1.211881105041504,0.95192,0.5609,1.2329909000396728,0.9538
25,0.57622,1.2089284017562867,0.95132,0.5605,1.2314360757827758,0.9547
26,0.57538,1.2056136233901977,0.95188,0.5631,1.22953593044281,0.9547
27,0.57788,1.2059885786819458,0.95094,0.563,1.2279554977416993,0.9546
28,0.57626,1.2034802492904664,0.95292,0.5641,1.226606234550476,0.9538
29,0.57598,1.2026455053329468,0.95212,0.5643,1.2248822034835816,0.9553
30,0.5787,1.199085845336914,0.95304,0.5655,1.2236437177658082,0.9551
31,0.5784,1.1982756853103638,0.95356,0.5638,1.2223089206695557,0.9559
32,0.57824,1.196687349243164,0.95394,0.5666,1.2209015800476075,0.9541
33,0.58014,1.1948029184722901,0.95296,0.5666,1.2194415351867676,0.9557
34,0.5793,1.1946563565063477,0.95376,0.5669,1.2183634141921997,0.9556
35,0.58144,1.1916248118972779,0.95434,0.5674,1.2171488843917846,0.9551
36,0.58156,1.1921706078338623,0.95328,0.5669,1.2158921117782593,0.9559
37,0.58126,1.1908195545959472,0.95322,0.5674,1.2146107536315918,0.956
38,0.58226,1.1891248788070679,0.9539,0.5668,1.2134322635650634,0.956
39,0.58396,1.1855289453125,0.95418,0.568,1.2130502965927124,0.9554
