epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10022,2.30320361328125,0.01,0.49666,0.0882,2.302440366744995,0.52
1,0.10126,2.3028793354034423,0.0095,0.49866,0.102,2.301929349899292,0.4969
2,0.10026,2.302771143913269,0.009025,0.5001,0.09,2.3016315698623657,0.5206
3,0.10222,2.302582980155945,0.00857375,0.50308,0.0944,2.3023293733596804,0.5101
4,0.10286,2.302505873680115,0.008145062,0.50536,0.0969,2.302503380775452,0.5076
5,0.10274,2.3023455801010133,0.0077378093,0.50724,0.096,2.3021789360046387,0.5155
6,0.10662,2.3021351470947264,0.007350919,0.51112,0.0858,2.301892704963684,0.517
7,0.10524,2.302097219467163,0.006983373,0.5127,0.0912,2.302082099914551,0.5003
8,0.11182,2.301824098587036,0.006634204,0.51534,0.0901,2.302579736709595,0.5078
9,0.1081,2.301716492652893,0.006302494,0.51792,0.1029,2.302740454673767,0.5146
10,0.11088,2.3014404125213623,0.0059873695,0.5256,0.1007,2.302579250335693,0.4977
11,0.10712,2.301369666099548,0.005688001,0.52342,0.0951,2.302700233459473,0.5131
12,0.11272,2.301223949432373,0.005403601,0.52622,0.0986,2.302558603286743,0.5133
13,0.114,2.3008763246536255,0.0051334207,0.52814,0.1034,2.3029320573806764,0.5083
14,0.11904,2.3007660636901854,0.0048767496,0.54276,0.0964,2.302811245918274,0.5057
15,0.1251,2.300508535385132,0.004632912,0.54996,0.0981,2.302998490333557,0.507
16,0.1172,2.3002015237808227,0.0044012666,0.54292,0.1204,2.302759780883789,0.4838
17,0.12388,2.3001309862136843,0.0041812034,0.54614,0.1025,2.302740330696106,0.5081
18,0.12806,2.299729228973389,0.0039721434,0.55514,0.1041,2.302671184539795,0.5114
19,0.1223,2.299526512145996,0.003773536,0.55398,0.1072,2.303271422386169,0.5019
20,0.12658,2.2992954006195068,0.0035848592,0.56334,0.1012,2.3027172756195067,0.507
21,0.12732,2.2988890810012816,0.0034056162,0.56128,0.0977,2.3021550798416137,0.4999
22,0.13698,2.298790905952454,0.0032353355,0.56838,0.0961,2.302744507789612,0.5178
23,0.1381,2.298471119880676,0.0030735687,0.57372,0.0965,2.302865591049194,0.5089
24,0.14464,2.2983131437301636,0.0029198902,0.57172,0.1144,2.3025600004196165,0.5002
25,0.14412,2.297998453140259,0.0027738956,0.58754,0.1027,2.303060598373413,0.4963
26,0.13588,2.297780276298523,0.002635201,0.58036,0.1065,2.30281590461731,0.5149
27,0.1557,2.2974489221572876,0.002503441,0.5917,0.1053,2.3031127738952635,0.5168
28,0.1424,2.297106924057007,0.0023782689,0.58648,0.1139,2.303175139427185,0.4971
29,0.15474,2.296925789833069,0.0022593555,0.60254,0.0954,2.303365797996521,0.5027
30,0.14308,2.296675319671631,0.0021463877,0.61124,0.1219,2.3035206031799316,0.4946
31,0.15794,2.2963331680297854,0.0020390681,0.62062,0.1114,2.303167629241943,0.4947
32,0.15084,2.2961130962371827,0.0019371149,0.61452,0.107,2.3032362604141237,0.5019
33,0.15506,2.295821264266968,0.0018402591,0.62558,0.1085,2.30340690612793,0.5028
34,0.15264,2.2955379333496095,0.0017482461,0.62368,0.1193,2.3038458728790285,0.4817
35,0.17182,2.2952322235107423,0.0016608338,0.6154,0.1094,2.3038826751708985,0.4969
36,0.16342,2.2949016809463503,0.0015777921,0.63068,0.1122,2.304444875717163,0.4975
37,0.16384,2.294718420982361,0.0014989026,0.62324,0.1084,2.30430570602417,0.4964
38,0.17158,2.29437273979187,0.0014239574,0.63648,0.1183,2.3039396476745604,0.4863
39,0.15878,2.2940738677978514,0.0013527595,0.6352,0.1167,2.304566812515259,0.4913
40,0.18828,2.29392316532135,0.0012851215,0.65696,0.115,2.304048390388489,0.4955
41,0.18624,2.2935782709121706,0.0012208655,0.65416,0.1076,2.304606013298035,0.4889
42,0.17348,2.293416283607483,0.0011598222,0.63682,0.1179,2.3044508504867554,0.4945
43,0.18326,2.2931627559661867,0.0011018311,0.667,0.1093,2.3050515270233154,0.4925
44,0.19934,2.292887396812439,0.0010467395,0.68214,0.1125,2.305091552734375,0.4917
45,0.2004,2.292724572181702,0.0009944026,0.67012,0.1071,2.3049592924118043,0.4969
46,0.19818,2.2924142637252807,0.00094468246,0.68024,0.106,2.3054494857788086,0.4961
47,0.19756,2.2921696281433106,0.00089744834,0.69354,0.106,2.3057672643661498,0.4957
48,0.19476,2.2919825429916383,0.0008525759,0.68442,0.1197,2.305444598197937,0.4905
49,0.20976,2.2917314977645873,0.0008099471,0.69746,0.11,2.3056669855117797,0.4871
50,0.19986,2.2915449171066284,0.00076944975,0.68384,0.109,2.305695986747742,0.494
51,0.22488,2.291294536590576,0.0007309773,0.7184,0.1139,2.3056465673446653,0.4898
52,0.21618,2.2911347103118898,0.0006944284,0.70638,0.1121,2.3059138011932374,0.4885
53,0.21692,2.2908902883529665,0.000659707,0.70156,0.1094,2.3064988660812378,0.4938
54,0.21326,2.2906965856552124,0.00062672165,0.69566,0.1165,2.3061678886413572,0.4904
55,0.21436,2.2905840673446654,0.00059538556,0.70016,0.1154,2.3065028190612793,0.4946
56,0.21972,2.2903414459228517,0.0005656163,0.69884,0.1173,2.306361665725708,0.4923
57,0.21648,2.2901486263275146,0.00053733547,0.70882,0.1186,2.305934352874756,0.4853
58,0.2233,2.2899861822128296,0.0005104687,0.72334,0.1157,2.306739993095398,0.4898
59,0.23476,2.2897684602737427,0.00048494525,0.72748,0.1155,2.306345419883728,0.4832
