epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.10026,2.3031132860183714,0.01,0.50134,0.0924,2.3044393348693846,0.4735
1,0.10122,2.3029190158843993,0.0095,0.50172,0.108,2.3038683414459227,0.4985
2,0.10186,2.302792392730713,0.009025,0.49892,0.0814,2.3045585536956787,0.4738
3,0.10028,2.302786464691162,0.00857375,0.49946,0.078,2.3046125316619874,0.4687
4,0.10126,2.3025894384384156,0.008145062,0.50536,0.0932,2.305083656311035,0.4687
5,0.1029,2.3024971017837523,0.0077378093,0.5046,0.1056,2.304974789619446,0.469
6,0.10356,2.302411923408508,0.007350919,0.5055,0.1154,2.30485013961792,0.4837
7,0.10268,2.302346742630005,0.006983373,0.50818,0.0909,2.3049326515197754,0.4861
8,0.10264,2.302225082397461,0.006634204,0.5111,0.1031,2.305787692070007,0.4794
9,0.10424,2.3020475883483886,0.006302494,0.51102,0.0912,2.305028510093689,0.4817
10,0.10522,2.3020253744125365,0.0059873695,0.51202,0.0995,2.3060055780410766,0.468
11,0.10494,2.3019254236221314,0.005688001,0.5194,0.0976,2.3065601587295532,0.4704
12,0.11182,2.301794626235962,0.005403601,0.51946,0.0909,2.3060652112960813,0.4653
13,0.11366,2.3016551914215087,0.0051334207,0.5202,0.1039,2.3062096643447876,0.4909
14,0.10818,2.301507014274597,0.0048767496,0.52886,0.0998,2.3062454748153685,0.4955
15,0.10856,2.3014954357147217,0.004632912,0.52794,0.0948,2.3065198612213136,0.4777
16,0.11802,2.301319685935974,0.0044012666,0.52996,0.1055,2.3064649295806885,0.4847
17,0.11476,2.301216039657593,0.0041812034,0.53958,0.1086,2.306786675453186,0.4707
18,0.1154,2.301116083145142,0.0039721434,0.5356,0.1168,2.306708197593689,0.4755
19,0.11402,2.3010091552734373,0.003773536,0.53564,0.1081,2.3065953493118285,0.4785
20,0.11706,2.3008554906845093,0.0035848592,0.54232,0.1029,2.3071259546279905,0.4767
21,0.11802,2.300707169532776,0.0034056162,0.5482,0.1169,2.3071257162094114,0.4641
22,0.12142,2.3005854768753053,0.0032353355,0.54704,0.1,2.3072339582443235,0.475
23,0.12614,2.300477727890015,0.0030735687,0.55864,0.1075,2.307599120140076,0.4593
24,0.13038,2.300348174095154,0.0029198902,0.54488,0.1111,2.307373547554016,0.4672
25,0.11418,2.3001842651367186,0.0027738956,0.55622,0.0967,2.3072592973709107,0.4693
26,0.12374,2.3000714683532717,0.002635201,0.5572,0.1056,2.3075975942611695,0.4723
27,0.13332,2.3000132131576536,0.002503441,0.56314,0.1044,2.307576684951782,0.4801
28,0.12864,2.2998749742507933,0.0023782689,0.58088,0.1056,2.307659764289856,0.476
29,0.1385,2.299694175720215,0.0022593555,0.57844,0.0997,2.307614526748657,0.4776
30,0.13444,2.299692792892456,0.0021463877,0.57704,0.0981,2.3079606008529665,0.4685
31,0.14418,2.299559850692749,0.0020390681,0.58422,0.1141,2.307827744483948,0.4851
32,0.1417,2.2994443359375,0.0019371149,0.59554,0.1018,2.3078612661361695,0.471
33,0.13332,2.2993508081436156,0.0018402591,0.58724,0.1081,2.30806866645813,0.4705
34,0.14048,2.2992477474212647,0.0017482461,0.59216,0.1075,2.307773609161377,0.4788
35,0.15026,2.2991413059234618,0.0016608338,0.59796,0.11,2.3078889799118043,0.4766
36,0.14572,2.2990041074752807,0.0015777921,0.59928,0.1011,2.3081333780288698,0.4851
37,0.15144,2.298928900718689,0.0014989026,0.6044,0.1103,2.307781944274902,0.4837
38,0.1486,2.2988369464874268,0.0014239574,0.5934,0.1084,2.3080103731155397,0.4739
39,0.15344,2.298718448638916,0.0013527595,0.6248,0.1011,2.308226156234741,0.4815
