epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.34244,1.828402386188507,0.01,0.83154,0.4487,1.533754014968872,0.9065
1,0.49652,1.4130398483276367,0.0095,0.924,0.5271,1.326924512386322,0.9361
2,0.56586,1.2279249129295349,0.009025,0.9459,0.5647,1.2277842235565186,0.9462
3,0.61276,1.1053159759044646,0.00857375,0.95654,0.6074,1.130269833803177,0.9536
4,0.6496,1.0072645184993745,0.008145062,0.96382,0.6383,1.0542963969707488,0.9576
5,0.67892,0.9240672039985657,0.0077378093,0.97016,0.6392,1.057794770002365,0.9593
6,0.7056,0.8528819904327393,0.007350919,0.97488,0.6431,1.0605172252655028,0.9591
7,0.7295,0.7863235778808594,0.006983373,0.97802,0.6605,1.0112073194980622,0.9604
8,0.75092,0.7248186233043671,0.006634204,0.98136,0.6676,0.9834341740608216,0.9655
9,0.77342,0.6634232996702194,0.006302494,0.98508,0.6699,0.9932443058490753,0.9655
10,0.78842,0.6174645676612854,0.0059873695,0.98694,0.6706,1.0105563199520111,0.9658
11,0.81054,0.5556776185035706,0.005688001,0.98956,0.6724,1.0157141637802125,0.9669
12,0.82278,0.5167217552661896,0.005403601,0.99132,0.6626,1.0702277052402496,0.9646
13,0.84834,0.4514807714223862,0.0051334207,0.99318,0.6827,1.0352863156795502,0.9669
14,0.86184,0.40972703337669375,0.0048767496,0.99432,0.6784,1.0605832612514496,0.966
15,0.8786,0.36545271176099775,0.004632912,0.99566,0.6757,1.1146283090114593,0.9666
16,0.8946,0.31940462958812715,0.0044012666,0.99674,0.6767,1.1513250601291656,0.9656
17,0.90938,0.2797210810184479,0.0041812034,0.99726,0.6676,1.2472550642490388,0.9659
18,0.91952,0.24899498236179352,0.0039721434,0.99798,0.6696,1.2828525233268737,0.9624
19,0.9343,0.20766926461458207,0.003773536,0.99852,0.6738,1.316586548089981,0.9633
20,0.948,0.17643836027383805,0.0035848592,0.99902,0.6726,1.3384481620788575,0.9626
21,0.95934,0.1458125241994858,0.0034056162,0.99932,0.6794,1.3719379448890685,0.9662
22,0.96966,0.11903078360855579,0.0032353355,0.99938,0.6801,1.420111882686615,0.9638
23,0.9773,0.09989489367604255,0.0030735687,0.9996,0.6745,1.4778181648254394,0.9621
24,0.98204,0.08478337264060974,0.0029198902,0.99966,0.6725,1.5530547642707824,0.9632
25,0.98408,0.07408886650204659,0.0027738956,0.99972,0.6726,1.5663165473937988,0.9637
26,0.99144,0.05502463072538376,0.002635201,0.99984,0.675,1.5885043168067932,0.9629
27,0.9947,0.044157993830740455,0.002503441,0.99988,0.6765,1.6286730790138244,0.964
28,0.99656,0.03662988729029894,0.0023782689,0.99994,0.6741,1.6796443915367127,0.9632
29,0.9977,0.03037663296610117,0.0022593555,1.0,0.6753,1.6975899314880372,0.9645
30,0.9984,0.02573300650343299,0.0021463877,0.99998,0.6735,1.7375310802459716,0.9643
31,0.99906,0.02244836353510618,0.0020390681,0.99998,0.6739,1.7620385909080505,0.9632
32,0.9992,0.020045976154506207,0.0019371149,1.0,0.6729,1.7818341660499573,0.9633
33,0.99944,0.017844941228628158,0.0018402591,1.0,0.6746,1.8022135090827942,0.9627
34,0.99942,0.016271496638655663,0.0017482461,1.0,0.6747,1.8237735581398011,0.9634
35,0.99966,0.014887083251029254,0.0016608338,1.0,0.6748,1.8386756157875062,0.964
36,0.99982,0.01367119125276804,0.0015777921,1.0,0.6745,1.8622541403770447,0.9641
37,0.99982,0.012834032751619815,0.0014989026,1.0,0.6738,1.877399480342865,0.9637
38,0.99984,0.012022675693035126,0.0014239574,1.0,0.6733,1.8873374342918396,0.9638
39,0.99984,0.011335524627938867,0.0013527595,1.0,0.6741,1.8978548049926758,0.9634
