epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.17906,7.097255094528198,0.1,0.74724,0.1657,7.3025212001800535,0.7729
1,0.17924,7.1930494861602785,0.095,0.78402,0.1776,7.124084129333496,0.7919
2,0.17918,7.1946145477294925,0.09025,0.79608,0.1742,7.0975667667388915,0.7763
3,0.19244,7.05332999420166,0.0857375,0.80888,0.1609,7.399918184280396,0.7884
4,0.18922,7.221085676193237,0.081450626,0.82594,0.1786,7.307721214294434,0.8079
5,0.2135,6.941344261169434,0.077378094,0.84042,0.1881,7.0330711841583256,0.8139
6,0.2275,6.8481006488800045,0.07350919,0.8485,0.1853,7.210928783416748,0.8128
7,0.22216,7.038079786300659,0.06983373,0.85406,0.1895,7.446766700744629,0.8224
8,0.24728,6.747006134033203,0.06634204,0.86324,0.2045,7.165008678436279,0.8221
9,0.25078,6.83976668548584,0.06302494,0.8703,0.188,7.407929372787476,0.8242
10,0.2571,6.782146097183228,0.059873693,0.87376,0.2023,7.215680313110352,0.8242
11,0.26882,6.650143838882446,0.05688001,0.87884,0.2016,7.254038734436035,0.8203
12,0.27518,6.657720920562745,0.05403601,0.88336,0.2081,7.268607664108276,0.8192
13,0.28572,6.559993118286132,0.05133421,0.88806,0.2203,7.199256391525268,0.8214
14,0.2926,6.541260654449463,0.0487675,0.89226,0.2058,7.266966114044189,0.8261
15,0.30248,6.43275775718689,0.046329122,0.89712,0.1985,7.402131357192993,0.8219
16,0.30878,6.420581249237061,0.044012666,0.90128,0.2026,7.408338356018066,0.816
17,0.30534,6.515760639190674,0.041812032,0.90252,0.1926,7.567655601501465,0.8265
18,0.31388,6.393574234008789,0.039721433,0.90614,0.2104,7.298181486129761,0.8184
19,0.33102,6.228424953460693,0.03773536,0.90924,0.2113,7.389659090042114,0.8198
20,0.3306,6.265497957229615,0.03584859,0.91102,0.2049,7.400116634368897,0.8173
21,0.336,6.221273571014405,0.034056164,0.9134,0.2079,7.498848495483398,0.8147
22,0.34356,6.182835123062134,0.032353353,0.9162,0.21,7.427005853652954,0.8129
23,0.32862,6.390332759857178,0.030735686,0.91748,0.2119,7.416999263763428,0.818
24,0.35156,6.10518187713623,0.029198902,0.91958,0.2257,7.328833637237548,0.8188
25,0.35214,6.156532018661499,0.027738957,0.92208,0.2038,7.52284122467041,0.8117
26,0.3415,6.331241170883179,0.026352009,0.92422,0.1964,7.722990570068359,0.824
27,0.3587,6.141241731643677,0.025034409,0.92542,0.1909,7.75581090927124,0.8108
28,0.36558,6.057700410842895,0.02378269,0.92796,0.216,7.5189149379730225,0.8131
29,0.37144,5.973417972564698,0.022593554,0.9287,0.2168,7.526652135848999,0.8186
30,0.37514,5.950808099746704,0.021463877,0.93086,0.213,7.621135025024414,0.8119
31,0.3775,5.956286153793335,0.020390682,0.93206,0.2109,7.647056226730347,0.8138
32,0.3824,5.904518533706665,0.019371148,0.9331,0.22,7.546264657974243,0.8193
33,0.39088,5.792703401565552,0.018402591,0.93488,0.2204,7.532714691162109,0.8138
34,0.39104,5.816627613067627,0.017482461,0.93538,0.2149,7.646134786605835,0.8185
35,0.39148,5.863446395874023,0.016608339,0.93686,0.2065,7.800013818740845,0.8173
36,0.3955,5.8207007503509525,0.015777921,0.9371,0.2197,7.645474052429199,0.8178
37,0.39764,5.772229278564454,0.014989025,0.93828,0.2222,7.608274688720703,0.8172
38,0.39492,5.834343894958496,0.014239574,0.93924,0.2149,7.738528728485107,0.8196
39,0.39864,5.817774715423584,0.013527595,0.94024,0.2003,7.9901842212677,0.8116
