epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.25732,5.449564579963684,0.1,0.77126,0.2806,5.2909885597229005,0.8183
1,0.26162,5.558328649520874,0.095,0.81634,0.2452,5.689816284179687,0.823
2,0.2728,5.537825090408325,0.09025,0.8326,0.3052,5.180391788482666,0.8404
3,0.29224,5.415364681243896,0.0857375,0.85288,0.268,5.652770032882691,0.8165
4,0.30512,5.325148078918457,0.081450626,0.8662,0.3127,5.126428260803222,0.8679
5,0.31346,5.199810935974121,0.077378094,0.86954,0.2886,5.678084182739258,0.8694
6,0.3152,5.259027730941773,0.07350919,0.87794,0.2987,5.570016765594483,0.8746
7,0.32504,5.149177185058594,0.06983373,0.88464,0.2985,5.280727958679199,0.8706
8,0.3372,5.0361507129669185,0.06634204,0.88822,0.3117,5.18095666885376,0.8779
9,0.33296,5.12735009098053,0.06302494,0.89112,0.3054,5.5680344200134275,0.8644
10,0.34128,5.042402424812317,0.059873693,0.8956,0.306,5.3413676738739015,0.8755
11,0.3417,5.0157315158844,0.05688001,0.8972,0.3116,5.250989151000977,0.877
12,0.36716,4.6937298517227175,0.05403601,0.9021,0.3458,4.845217761993408,0.8833
13,0.36806,4.766111673355103,0.05133421,0.90688,0.3205,5.284115295410157,0.8838
14,0.37764,4.696374124526978,0.0487675,0.91096,0.3447,4.939039096832276,0.8847
15,0.3823,4.6352878723144535,0.046329122,0.9117,0.3208,5.368013391494751,0.888
16,0.3767,4.722805947303772,0.044012666,0.9135,0.3243,5.241686248779297,0.8854
17,0.39818,4.4725234394073485,0.041812032,0.9187,0.3508,4.884473485946655,0.8929
18,0.40702,4.3701959400177,0.039721433,0.91974,0.3464,4.985605349540711,0.8946
19,0.41198,4.392329748153687,0.03773536,0.92202,0.348,4.939248924255371,0.8926
20,0.42412,4.251900717735291,0.03584859,0.92432,0.3497,4.852900547981262,0.8971
21,0.42708,4.236122748374939,0.034056164,0.92612,0.3536,4.94001690864563,0.8997
22,0.41736,4.396973512649536,0.032353353,0.9266,0.3397,5.124022212028503,0.8943
23,0.42302,4.376919867515564,0.030735686,0.92878,0.3437,5.123969783782959,0.8965
24,0.4449,4.100388360977173,0.029198902,0.93154,0.3671,4.849052143096924,0.8936
25,0.45656,3.9774283237457277,0.027738957,0.93262,0.3839,4.7121161413192745,0.899
26,0.46238,3.9390596256256103,0.026352009,0.93158,0.3743,4.779448480606079,0.9003
27,0.47058,3.847761808395386,0.025034409,0.9348,0.3876,4.697271041870117,0.9015
28,0.471,3.875573178291321,0.02378269,0.93584,0.367,4.844149923324585,0.8978
29,0.48266,3.753909701347351,0.022593554,0.93694,0.3893,4.679850296974182,0.901
30,0.48394,3.759588797569275,0.021463877,0.9382,0.3737,4.938856539726257,0.8964
31,0.49196,3.6666665410995485,0.020390682,0.93864,0.3972,4.5911608409881595,0.8982
32,0.4943,3.680872010231018,0.019371148,0.93862,0.3955,4.645252518653869,0.897
33,0.4876,3.781080912590027,0.018402591,0.94,0.3682,5.034527082443237,0.8988
34,0.50232,3.6111469917297363,0.017482461,0.94116,0.3907,4.694521560668945,0.8973
35,0.49648,3.701026375770569,0.016608339,0.94242,0.3845,4.851965565681457,0.8973
36,0.51528,3.490393948554993,0.015777921,0.94252,0.3976,4.663181858062744,0.8995
37,0.51806,3.4667830600738525,0.014989025,0.94332,0.3963,4.693531303405762,0.9003
38,0.5206,3.463957770347595,0.014239574,0.94372,0.4031,4.673653411865234,0.9001
39,0.5235,3.415309549331665,0.013527595,0.94426,0.3992,4.634151549339294,0.9023
