epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.54052,1.292190060853958,0.1,0.92724,0.5953,1.3659130930900574,0.9203
1,0.72522,0.7895467600822449,0.095,0.9796,0.5749,1.4021076583862304,0.9329
2,0.7924,0.5950460677146912,0.09025,0.98884,0.5737,1.6476017498970033,0.9372
3,0.83256,0.48388787782192233,0.0857375,0.99278,0.5123,1.9263800621032714,0.9267
4,0.86882,0.38065848755836484,0.081450626,0.9952,0.7369,0.83330029129982,0.9821
5,0.89382,0.3060704823732376,0.077378094,0.9973,0.7203,0.9215934085845947,0.9837
6,0.92068,0.23099218034744262,0.07350919,0.99878,0.7543,0.8319975912570954,0.9811
7,0.94482,0.16203220725059508,0.06983373,0.99932,0.7286,1.1035259354114533,0.9799
8,0.9656,0.10656365792453289,0.06634204,0.99978,0.7279,1.08076700091362,0.9772
9,0.98152,0.0621117532402277,0.06302494,0.9999,0.749,1.0982346200942994,0.9839
10,0.992,0.032778454206883904,0.059873693,1.0,0.7241,1.3467825293540954,0.9743
11,0.99798,0.01358439911622554,0.05688001,1.0,0.8173,0.7322342216968536,0.9884
12,0.9999,0.003999311883468181,0.05403601,1.0,0.8284,0.7224756425619125,0.9899
13,1.0,0.0018748807674273849,0.05133421,1.0,0.8268,0.751650584936142,0.9891
14,1.0,0.001346532938769087,0.0487675,1.0,0.8296,0.7347263354063034,0.9891
15,1.0,0.0011068275102879852,0.046329122,1.0,0.8301,0.7430582171678544,0.9893
16,1.0,0.0009309858144260943,0.044012666,1.0,0.8278,0.7516188895702363,0.9895
17,1.0,0.000832682911073789,0.041812032,1.0,0.83,0.7538975393772125,0.9891
18,1.0,0.0007404190921224653,0.039721433,1.0,0.8294,0.7642534267902374,0.9892
19,1.0,0.000704124895739369,0.03773536,1.0,0.829,0.766929589509964,0.9893
20,1.0,0.0006393120910506696,0.03584859,1.0,0.8292,0.7802981942892074,0.9891
21,1.0,0.0005974503380712122,0.034056164,1.0,0.8281,0.7739185643196106,0.989
22,1.0,0.0005528510581934824,0.032353353,1.0,0.8292,0.7748893630504609,0.989
23,1.0,0.0005620300485752523,0.030735686,1.0,0.8279,0.780801043510437,0.9892
24,1.0,0.0005111750828800723,0.029198902,1.0,0.8283,0.7836870622634887,0.9889
25,1.0,0.0004978223270736635,0.027738957,1.0,0.8282,0.7859206187725067,0.9889
26,1.0,0.0004565897042048164,0.026352009,1.0,0.828,0.7861655962467193,0.9888
27,1.0,0.0004547322402941063,0.025034409,1.0,0.8271,0.7916012752056122,0.9892
28,1.0,0.00043880670494399963,0.02378269,1.0,0.8267,0.7931759214401245,0.9889
29,1.0,0.00043007410259451715,0.022593554,1.0,0.8272,0.7928609436750412,0.9893
30,1.0,0.0004129745255340822,0.021463877,1.0,0.8269,0.793275556564331,0.9892
31,1.0,0.00040664752799784764,0.020390682,1.0,0.8282,0.7953593516349793,0.9894
32,1.0,0.00039322713704314084,0.019371148,1.0,0.8264,0.7985539954900741,0.9891
33,1.0,0.00037923248327570035,0.018402591,1.0,0.8276,0.7996971786022187,0.9889
34,1.0,0.0003747789527405985,0.017482461,1.0,0.8283,0.7968021535873413,0.9891
35,1.0,0.0003734189441311173,0.016608339,1.0,0.8269,0.8021916162967682,0.9891
36,1.0,0.0003641581443953328,0.015777921,1.0,0.828,0.802243047952652,0.9892
37,1.0,0.0003541911269421689,0.014989025,1.0,0.8269,0.8030223602056503,0.9893
38,1.0,0.0003613841201295145,0.014239574,1.0,0.8264,0.8054501831531524,0.9893
39,1.0,0.0003373983004130423,0.013527595,1.0,0.8266,0.8059511852264404,0.9891
