epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09756,2.3040459127426147,0.1,0.49884,0.1003,2.3040579462051394,0.5025
1,0.10044,2.3037058782577513,0.095,0.49562,0.1057,2.303307547569275,0.5009
2,0.1005,2.3035428810119627,0.09025,0.50184,0.1031,2.3034357690811156,0.5
3,0.09936,2.3036148948669433,0.0857375,0.49844,0.1,2.3031656455993654,0.4943
4,0.10176,2.303419345855713,0.081450626,0.50276,0.1,2.3035977029800416,0.5025
5,0.09906,2.3036408843994143,0.077378094,0.49806,0.1,2.3032874345779417,0.502
6,0.09888,2.3035679512023925,0.07350919,0.498,0.1,2.302903480529785,0.484
7,0.10024,2.303556854248047,0.06983373,0.495,0.1,2.303496894836426,0.5
8,0.098,2.303380702018738,0.06634204,0.50254,0.1,2.303112950325012,0.504
9,0.09778,2.3034940843582152,0.06302494,0.49662,0.1,2.3032151889801025,0.5005
10,0.09908,2.30340966796875,0.059873693,0.49676,0.1009,2.3030228281021117,0.5001
11,0.10038,2.303283311843872,0.05688001,0.49728,0.1,2.3029912185668944,0.5024
12,0.10084,2.30308256816864,0.05403601,0.4987,0.1,2.3030665731430053,0.4786
13,0.10036,2.3031375102996825,0.05133421,0.4995,0.1,2.302943606376648,0.4981
14,0.099,2.303199921607971,0.0487675,0.49882,0.0984,2.3029715967178346,0.4929
15,0.10108,2.303056315422058,0.046329122,0.50106,0.1,2.303264307975769,0.4961
16,0.09936,2.303032073020935,0.044012666,0.4986,0.1,2.30280170917511,0.4892
17,0.10082,2.3029523134231566,0.041812032,0.50214,0.1003,2.303015937805176,0.5022
18,0.09968,2.3030286664962767,0.039721433,0.50034,0.1,2.3033104133605957,0.5005
19,0.09766,2.303008773803711,0.03773536,0.49796,0.1071,2.3028658294677733,0.4994
20,0.09868,2.302928219795227,0.03584859,0.49888,0.1,2.30299747467041,0.5158
21,0.09928,2.3029893503189087,0.034056164,0.49584,0.0977,2.3027078247070314,0.4912
22,0.10126,2.302917137145996,0.032353353,0.50052,0.1068,2.302720432281494,0.4716
23,0.10126,2.3028003931045533,0.030735686,0.50166,0.1,2.303062233924866,0.5003
24,0.09998,2.3028698892593384,0.029198902,0.50212,0.0794,2.3029011583328245,0.5039
25,0.10188,2.302705568313599,0.027738957,0.50572,0.0978,2.302897024154663,0.4923
26,0.09866,2.3028645086288453,0.026352009,0.5,0.1021,2.3027194356918335,0.4893
27,0.09984,2.3028782386779785,0.025034409,0.4982,0.1,2.302845606803894,0.5023
28,0.09848,2.3028089990615843,0.02378269,0.49936,0.1,2.3026550340652467,0.4902
29,0.10104,2.302769250869751,0.022593554,0.50198,0.1,2.302707676887512,0.4947
30,0.09938,2.3027033519744875,0.021463877,0.50328,0.102,2.302751326560974,0.4834
31,0.09814,2.302820502281189,0.020390682,0.4979,0.1184,2.3026907777786256,0.5037
32,0.10202,2.302675965309143,0.019371148,0.50244,0.1009,2.302757987976074,0.4991
33,0.10024,2.3027700662612913,0.018402591,0.49992,0.1001,2.3026288986206054,0.5057
34,0.10054,2.30267449092865,0.017482461,0.50182,0.0906,2.302604660987854,0.4925
35,0.103,2.3026386528015137,0.016608339,0.5018,0.103,2.302747917175293,0.4871
36,0.1001,2.302740742683411,0.015777921,0.49806,0.1009,2.3026161336898805,0.4977
37,0.10168,2.3026414175033567,0.014989025,0.49958,0.0998,2.302658729553223,0.5284
38,0.10212,2.302621160507202,0.014239574,0.5032,0.0946,2.3027020645141603,0.5068
39,0.1021,2.3026056537628175,0.013527595,0.5047,0.1,2.3026328229904176,0.5109
40,0.10008,2.3026219844818114,0.012851216,0.50186,0.0709,2.3027730131149293,0.4991
41,0.10096,2.3026000719070434,0.012208655,0.503,0.1,2.302587728500366,0.5548
42,0.10074,2.302596408843994,0.011598222,0.50084,0.1001,2.302694911956787,0.5008
43,0.102,2.302544291496277,0.011018311,0.50432,0.0999,2.3026779222488405,0.5067
44,0.10062,2.3025637302398683,0.010467395,0.50502,0.0997,2.3026661825180055,0.5028
45,0.10112,2.302516044616699,0.009944025,0.50506,0.1005,2.302556343078613,0.4985
46,0.10054,2.3025198421478272,0.009446824,0.50504,0.1002,2.3026315116882325,0.4951
47,0.10132,2.302436047554016,0.008974483,0.50554,0.1001,2.30262216091156,0.4951
48,0.09938,2.302514044761658,0.008525759,0.50282,0.1001,2.302583084106445,0.4972
49,0.10468,2.3024854164123534,0.008099471,0.50518,0.1338,2.302501220703125,0.4969
50,0.10048,2.3024800157547,0.0076944977,0.50802,0.1001,2.302595686912537,0.5172
51,0.10452,2.3024800148010254,0.0073097725,0.5114,0.1003,2.302572178840637,0.5109
52,0.1014,2.302441191673279,0.006944284,0.51154,0.111,2.302602529525757,0.5112
53,0.1048,2.302452995300293,0.00659707,0.50846,0.1281,2.3025659465789796,0.5012
54,0.10592,2.302416590690613,0.0062672165,0.51242,0.1153,2.3025687885284425,0.5025
55,0.10808,2.302406710624695,0.0059538553,0.51142,0.1128,2.302646532058716,0.499
56,0.10322,2.3024089155197145,0.0056561627,0.51608,0.1283,2.3025059604644778,0.5334
57,0.1015,2.302401238441467,0.0053733545,0.51562,0.1049,2.30257269859314,0.5012
58,0.10438,2.3023928480148315,0.005104687,0.51692,0.1371,2.3025612831115723,0.5123
59,0.10542,2.3023643856048586,0.0048494525,0.51296,0.1322,2.302633457183838,0.4869
