epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09944,2.3039579210281373,0.1,0.49978,0.1,2.3030342435836793,0.5044
1,0.09984,2.3036355524063112,0.095,0.4983,0.1,2.3030304098129273,0.5195
2,0.1023,2.303357741355896,0.09025,0.49938,0.1013,2.3030594635009765,0.4996
3,0.10206,2.3033951835632323,0.0857375,0.5016,0.1022,2.303732376098633,0.5
4,0.1034,2.3029818811416627,0.081450626,0.50506,0.124,2.3021401882171633,0.5101
5,0.10098,2.3032507333755494,0.077378094,0.50378,0.1069,2.301904630661011,0.5262
6,0.10268,2.302856672286987,0.07350919,0.50946,0.0902,2.302590556144714,0.5022
7,0.10166,2.3029990634918214,0.06983373,0.50488,0.1079,2.30214786529541,0.5425
8,0.10158,2.302731505393982,0.06634204,0.50658,0.1209,2.301729097366333,0.5047
9,0.10118,2.3027055616378784,0.06302494,0.50886,0.1521,2.3031341934204104,0.4956
10,0.10268,2.302834589958191,0.059873693,0.50428,0.1007,2.3011871004104614,0.5382
11,0.10346,2.3026763868331908,0.05688001,0.50662,0.1289,2.300028066635132,0.5289
12,0.10472,2.3024811544418333,0.05403601,0.50772,0.1316,2.299955434799194,0.5312
13,0.10378,2.3023020734786988,0.05133421,0.50924,0.0837,2.301780786514282,0.4969
14,0.10492,2.302302478790283,0.0487675,0.51346,0.1366,2.299270873069763,0.5027
15,0.10246,2.3024396085739136,0.046329122,0.50936,0.1066,2.2985703325271607,0.5735
16,0.10422,2.3019702081680298,0.044012666,0.51544,0.12,2.3005629491806032,0.5362
17,0.10562,2.3020631227493284,0.041812032,0.51344,0.1239,2.2968789958953857,0.5877
18,0.10546,2.3020499143600466,0.039721433,0.51276,0.1339,2.29946252822876,0.5394
19,0.10462,2.301716975212097,0.03773536,0.513,0.1181,2.298443150520325,0.5514
20,0.10712,2.3014927167892454,0.03584859,0.51528,0.1283,2.2981801414489746,0.5863
21,0.10762,2.301267967224121,0.034056164,0.51654,0.0951,2.3033337926864625,0.501
22,0.10756,2.3011179885864257,0.032353353,0.51894,0.0989,2.2995364093780517,0.5263
23,0.1094,2.30113484954834,0.030735686,0.51764,0.11,2.298665852546692,0.5524
24,0.10916,2.3007446060180663,0.029198902,0.52292,0.098,2.3004084157943727,0.5478
25,0.1102,2.300590949058533,0.027738957,0.52424,0.1273,2.2990005159378053,0.5223
26,0.11052,2.300500399589539,0.026352009,0.52288,0.1071,2.2983473348617554,0.5467
27,0.10888,2.3000673246383667,0.025034409,0.52482,0.12,2.2987948989868165,0.552
28,0.11378,2.299796064376831,0.02378269,0.5258,0.1355,2.2936505842208863,0.6032
29,0.10952,2.2997317504882813,0.022593554,0.52654,0.1216,2.2964639043807984,0.5211
30,0.11168,2.2990951519012452,0.021463877,0.53256,0.1206,2.295092349052429,0.5296
31,0.1148,2.2989537420272828,0.020390682,0.5308,0.1047,2.301913785934448,0.519
32,0.1141,2.29883447265625,0.019371148,0.53086,0.114,2.299622597694397,0.5494
33,0.11618,2.2982273292541504,0.018402591,0.5348,0.1283,2.2961201238632203,0.5346
34,0.11562,2.2978753747940064,0.017482461,0.53498,0.1395,2.292544374465942,0.5763
35,0.11494,2.296976909637451,0.016608339,0.5383,0.1237,2.3059827518463134,0.5175
36,0.11584,2.297159300804138,0.015777921,0.54008,0.1437,2.3001342248916625,0.5066
37,0.11766,2.2964514045715334,0.014989025,0.541,0.1426,2.290463061332703,0.5521
38,0.11912,2.296032992362976,0.014239574,0.54286,0.1073,2.294964108467102,0.5577
39,0.11856,2.295853672027588,0.013527595,0.54362,0.1135,2.3018179035186765,0.5298
