epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.09684,2.303868974685669,0.1,0.49752,0.1003,2.3041990995407104,0.4862
1,0.10086,2.303736102104187,0.095,0.4999,0.1012,2.3033860397338866,0.5
2,0.09912,2.3038220596313477,0.09025,0.49934,0.1,2.303027949333191,0.5005
3,0.09856,2.3035439472198487,0.0857375,0.50192,0.0922,2.3027431678771975,0.5053
4,0.0978,2.3036765127182006,0.081450626,0.49704,0.1,2.303180842399597,0.5
5,0.09824,2.303525053977966,0.077378094,0.49512,0.1,2.3030211353302,0.5
6,0.09782,2.303512240409851,0.07350919,0.49822,0.1,2.3030954027175903,0.4999
7,0.09846,2.303468412399292,0.06983373,0.49844,0.0846,2.3028219318389893,0.5
8,0.09864,2.3034924411773683,0.06634204,0.49524,0.1,2.3030135869979858,0.509
9,0.09708,2.3034462909698488,0.06302494,0.49448,0.1125,2.3032530832290647,0.5
10,0.09992,2.3033592596054078,0.059873693,0.49608,0.1,2.302919125556946,0.5363
11,0.10006,2.303165475845337,0.05688001,0.49928,0.1,2.303274631500244,0.5004
12,0.10076,2.3033743686676025,0.05403601,0.49488,0.1039,2.3029620695114135,0.4975
13,0.09938,2.303252348899841,0.05133421,0.49848,0.1014,2.302667875289917,0.4946
14,0.09898,2.3031571311950683,0.0487675,0.4995,0.0941,2.3028177309036253,0.5001
15,0.09996,2.3031746597290037,0.046329122,0.49668,0.1167,2.3023891258239746,0.4988
16,0.09984,2.303042274475098,0.044012666,0.49744,0.1,2.303169002532959,0.5277
17,0.0981,2.303120304107666,0.041812032,0.49652,0.1,2.3025792980194093,0.4999
18,0.1,2.3030684871673586,0.039721433,0.49872,0.1,2.302679853439331,0.5006
19,0.09902,2.30299063873291,0.03773536,0.50032,0.1051,2.3029766845703126,0.502
20,0.09726,2.302986251831055,0.03584859,0.49686,0.1,2.3027170753479003,0.5
21,0.09978,2.3030389022827147,0.034056164,0.50014,0.129,2.302568292617798,0.4999
22,0.10094,2.3029768142700195,0.032353353,0.4973,0.1,2.3025700664520263,0.4905
23,0.10054,2.3029010457992554,0.030735686,0.4994,0.1042,2.302779269218445,0.5071
24,0.09974,2.303002025604248,0.029198902,0.49636,0.1,2.3025029277801514,0.5025
25,0.10024,2.3028812150955202,0.027738957,0.49854,0.0942,2.302562785148621,0.4947
26,0.10062,2.3028754386901857,0.026352009,0.49822,0.1,2.302843065261841,0.5001
27,0.09708,2.3029973068237304,0.025034409,0.49588,0.102,2.3024700117111205,0.5043
28,0.09988,2.3027940425872804,0.02378269,0.50028,0.1,2.3027634191513062,0.5
29,0.10034,2.3028942174911498,0.022593554,0.49894,0.1055,2.302397303581238,0.5154
30,0.1004,2.3028459548950195,0.021463877,0.49806,0.0952,2.30240110874176,0.5448
31,0.09906,2.302790780067444,0.020390682,0.50104,0.1448,2.302491135597229,0.4999
32,0.09968,2.3028268842697144,0.019371148,0.49732,0.0955,2.302336220741272,0.5337
33,0.09956,2.302779450416565,0.018402591,0.49394,0.1023,2.3023557567596438,0.5503
34,0.09972,2.302710788726807,0.017482461,0.50206,0.1033,2.3023301362991333,0.5351
35,0.10012,2.302728332519531,0.016608339,0.49914,0.1443,2.302503409385681,0.4997
36,0.0994,2.302777314186096,0.015777921,0.50018,0.1071,2.302381067276001,0.501
37,0.10056,2.3027314052581787,0.014989025,0.4979,0.1,2.3025607204437257,0.5
38,0.09772,2.3027657985687258,0.014239574,0.49654,0.1,2.3023783111572267,0.5003
39,0.0992,2.3027708988189697,0.013527595,0.49924,0.1326,2.3023512983322143,0.5093
