epoch,acc,loss,lr,top_k_categorical_accuracy,val_acc,val_loss,val_top_k_categorical_accuracy
0,0.13272,2.268358006000519,0.1,0.5766,0.1403,2.1627679777145388,0.7007
1,0.29738,1.9101725707054138,0.095,0.81136,0.359,1.7742392110824585,0.8501
2,0.43446,1.580947445869446,0.09025,0.89464,0.5387,1.3371554565429689,0.933
3,0.56336,1.2545778682231903,0.0857375,0.94116,0.5746,1.2254109454154969,0.9455
4,0.63306,1.0533840646743775,0.081450626,0.96068,0.67,0.9583059680461884,0.9664
5,0.67902,0.9257607314586639,0.077378094,0.97042,0.6764,0.9502004992961883,0.9663
6,0.7199,0.8112270855903625,0.07350919,0.97776,0.6806,0.9558075988292694,0.9638
7,0.75406,0.7157006289958954,0.06983373,0.98282,0.7367,0.7774812030792236,0.9779
8,0.78194,0.6286758761405945,0.06634204,0.98614,0.7432,0.7729884910583497,0.9801
9,0.80366,0.5655700507164001,0.06302494,0.98934,0.7491,0.7518020272254944,0.9807
10,0.83158,0.48479134726524353,0.059873693,0.99228,0.7613,0.7786021369695664,0.9811
11,0.8471,0.4348876967430115,0.05688001,0.99412,0.7479,0.7923100161552429,0.9787
12,0.87214,0.3625911520719528,0.05403601,0.99612,0.74,0.8881554269790649,0.9757
13,0.89096,0.308580740749836,0.05133421,0.9974,0.7567,0.8239459431171418,0.9801
14,0.90696,0.2649404788017273,0.0487675,0.99834,0.7542,0.8786261177062988,0.9791
15,0.92018,0.22182760164141654,0.046329122,0.99896,0.7606,0.9116171944141388,0.98
16,0.93578,0.18021228861808777,0.044012666,0.99914,0.7599,1.1224036169052125,0.9771
17,0.94392,0.15666776475310326,0.041812032,0.9995,0.762,1.1887843799591065,0.9808
18,0.9547,0.12858555832505225,0.039721433,0.9997,0.7642,1.150768173933029,0.9776
19,0.96434,0.10306775510311127,0.03773536,0.9999,0.7501,1.2823954617977142,0.9795
20,0.96854,0.08900034777820111,0.03584859,0.99988,0.7658,1.2936210358142852,0.9793
21,0.97366,0.07443033166229725,0.034056164,0.99994,0.7712,1.283823665380478,0.9805
22,0.98222,0.05290505786240101,0.032353353,0.99998,0.7604,1.4938000702857972,0.9819
23,0.98112,0.0545703938677907,0.030735686,0.99998,0.7551,1.4639032149314881,0.9801
24,0.98426,0.045386855221353474,0.029198902,0.99998,0.7681,1.484979281425476,0.9799
25,0.98928,0.031136857891455292,0.027738957,1.0,0.7683,1.6699040865898132,0.979
26,0.99188,0.025725304233841596,0.026352009,1.0,0.7696,1.6416327095031737,0.9791
27,0.99428,0.016778510137926788,0.025034409,1.0,0.7583,1.8528989458084106,0.9815
28,0.99368,0.01942176322126761,0.02378269,1.0,0.7736,1.699894082546234,0.9831
29,0.99786,0.0069055672819959,0.022593554,1.0,0.7715,1.822707507610321,0.9801
30,0.99886,0.0040601396995480175,0.021463877,1.0,0.7809,1.8724879145622253,0.9834
31,0.99968,0.0013875309276845656,0.020390682,1.0,0.7821,1.8880444383621215,0.9835
32,1.0,0.00018910113493257084,0.019371148,1.0,0.787,1.8860261535644531,0.9833
33,1.0,7.5702071939304e-05,0.018402591,1.0,0.7884,1.8908485341072083,0.9834
34,1.0,5.353451529663289e-05,0.017482461,1.0,0.7876,1.903145089149475,0.9835
35,1.0,4.470977431446954e-05,0.016608339,1.0,0.7878,1.91296945810318,0.9835
36,1.0,3.904750615947705e-05,0.015777921,1.0,0.7876,1.921341199874878,0.9836
37,1.0,3.50218052881246e-05,0.014989025,1.0,0.7877,1.9282372212409973,0.9837
38,1.0,3.19411949149071e-05,0.014239574,1.0,0.7876,1.9342839741706848,0.9836
39,1.0,2.951434721398982e-05,0.013527595,1.0,0.7876,1.9397812581062317,0.9837
